quality,chroma_subsampling,ssimulacra2_mean,ssimulacra2_p05,ssimulacra2_p25,ssimulacra2_p50,ssimulacra2_p75,ssimulacra2_p95,ssimulacra2_min,ssimulacra2_max,psnr_mean,psnr_p05,psnr_p25,psnr_p50,psnr_p75,psnr_p95,psnr_min,psnr_max,ssim_mean,ssim_p05,ssim_p25,ssim_p50,ssim_p75,ssim_p95,ssim_min,ssim_max,butteraugli_mean,butteraugli_p05,butteraugli_p25,butteraugli_p50,butteraugli_p75,butteraugli_p95,butteraugli_min,butteraugli_max,file_size_mean,file_size_p05,file_size_p25,file_size_p50,file_size_p75,file_size_p95,file_size_min,file_size_max,bits_per_pixel_mean,bits_per_pixel_p05,bits_per_pixel_p25,bits_per_pixel_p50,bits_per_pixel_p75,bits_per_pixel_p95,bits_per_pixel_min,bits_per_pixel_max,encoding_time_mean,encoding_time_p05,encoding_time_p25,encoding_time_p50,encoding_time_p75,encoding_time_p95,encoding_time_min,encoding_time_max,encoding_time_per_pixel_mean,encoding_time_per_pixel_p05,encoding_time_per_pixel_p25,encoding_time_per_pixel_p50,encoding_time_per_pixel_p75,encoding_time_per_pixel_p95,encoding_time_per_pixel_min,encoding_time_per_pixel_max,compression_ratio_mean,compression_ratio_p05,compression_ratio_p25,compression_ratio_p50,compression_ratio_p75,compression_ratio_p95,compression_ratio_min,compression_ratio_max,bits_per_ssimulacra2_per_pixel_mean,bits_per_ssimulacra2_per_pixel_p05,bits_per_ssimulacra2_per_pixel_p25,bits_per_ssimulacra2_per_pixel_p50,bits_per_ssimulacra2_per_pixel_p75,bits_per_ssimulacra2_per_pixel_p95,bits_per_ssimulacra2_per_pixel_min,bits_per_ssimulacra2_per_pixel_max,bits_per_psnr_per_pixel_mean,bits_per_psnr_per_pixel_p05,bits_per_psnr_per_pixel_p25,bits_per_psnr_per_pixel_p50,bits_per_psnr_per_pixel_p75,bits_per_psnr_per_pixel_p95,bits_per_psnr_per_pixel_min,bits_per_psnr_per_pixel_max,bits_per_ssim_per_pixel_mean,bits_per_ssim_per_pixel_p05,bits_per_ssim_per_pixel_p25,bits_per_ssim_per_pixel_p50,bits_per_ssim_per_pixel_p75,bits_per_ssim_per_pixel_p95,bits_per_ssim_per_pixel_min,bits_per_ssim_per_pixel_max,bits_per_butteraugli_per_pixel_mean,bits_per_butteraugli_per_pixel_p05,bits_per_butteraugli_per_pixel_p25,bits_per_butteraugli_per_pixel_p50,bits_per_butteraugli_per_pixel_p75,bits_per_butteraugli_per_pixel_p95,bits_per_butteraugli_per_pixel_min,bits_per_butteraugli_per_pixel_max
30,420,38.32,25.99,32.62,38.46,43.68,53.04,12.42,61.13,30.92,27.53,29.48,30.73,31.94,35.12,25.18,39.04,0.8773,0.7891,0.8644,0.8838,0.9038,0.9336,0.5833,0.9745,7.582,6.088,6.963,7.476,8.124,9.179,5.199,12.07,9.353e+04,2.158e+04,5.395e+04,7.711e+04,1.114e+05,2.442e+05,7045,327074,0.2661,0.06242,0.1553,0.2194,0.3076,0.7061,0.02037,0.9351,17.41,6.167,12.45,16.63,21.39,32.87,3.051,38.74,6.175e-06,2.229e-06,4.5e-06,5.95e-06,7.673e-06,1.1e-05,1.103e-06,1.423e-05,69.1,24.65,43.4,55.28,73.4,156.2,19.45,336.3,0.007455,0.001405,0.00412,0.006252,0.008734,0.01834,0.0003333,0.03643,0.009037,0.001885,0.004958,0.007187,0.0104,0.02544,0.0005219,0.03714,0.3052,0.06795,0.1854,0.2576,0.3523,0.8246,0.02091,1.164,1.91,0.4963,1.279,1.7,2.359,4.606,0.1663,7.954
30,444,43.75,31.56,38.02,43.71,49.31,57.89,15.78,64.56,31.62,28.09,30.15,31.57,32.71,35.55,26.55,39.69,0.8847,0.7997,0.8712,0.8922,0.9089,0.9383,0.5859,0.9752,7.229,5.982,6.63,7.108,7.649,8.675,5.331,9.594,1.023e+05,2.34e+04,6.155e+04,8.351e+04,1.217e+05,2.546e+05,7854,357707,0.2914,0.06767,0.1752,0.2392,0.342,0.7363,0.02271,1.068,22.55,8.636,15.59,21.57,27.42,41.64,4.165,51.28,7.998e-06,3.122e-06,5.712e-06,7.65e-06,1.002e-05,1.353e-05,1.506e-06,1.864e-05,62.12,23.69,39.62,51.29,68.23,131.7,17.7,280,0.006896,0.00151,0.003931,0.006015,0.008119,0.01646,0.0003518,0.03016,0.009657,0.001983,0.0053,0.00772,0.01121,0.02614,0.0005723,0.04022,0.3307,0.07226,0.1955,0.2736,0.3917,0.8519,0.02329,1.282,1.995,0.5589,1.285,1.779,2.345,4.899,0.189,7.201
40,420,53.2,42.71,49.6,53.61,57.11,63,30.84,68.56,32.73,29.38,31.31,32.55,33.74,36.72,26.75,40.37,0.9087,0.826,0.8995,0.9149,0.9316,0.954,0.6983,0.9808,5.487,4.373,4.806,5.4,5.992,6.872,3.868,8.123,1.424e+05,3.211e+04,8.792e+04,1.239e+05,1.693e+05,3.71e+05,10364,464985,0.4053,0.09287,0.2461,0.3496,0.4841,1.073,0.02997,1.39,20.83,7.608,15.28,20.09,25.38,36.94,3.355,41.92,7.384e-06,2.75e-06,5.603e-06,7.127e-06,9.173e-06,1.26e-05,1.213e-06,1.603e-05,45.47,16.18,28.88,35.82,46.48,102,13.62,238.9,0.007733,0.001597,0.004411,0.006586,0.009211,0.01916,0.0004372,0.03245,0.01292,0.002555,0.007208,0.01081,0.01543,0.03567,0.0007424,0.05198,0.4468,0.09979,0.2667,0.386,0.527,1.162,0.03064,1.622,2.099,0.5905,1.394,1.899,2.633,4.856,0.1839,7.634
40,444,57.94,46.26,54.47,58.25,61.43,68.06,34.26,72.57,33.59,30.51,32.26,33.49,34.61,37.51,28.96,40.96,0.916,0.8281,0.9061,0.9238,0.9361,0.9574,0.7001,0.982,5.146,4.244,4.723,5.156,5.567,6.279,3.818,6.714,1.569e+05,3.742e+04,9.843e+04,1.338e+05,1.88e+05,3.938e+05,11377,516388,0.4468,0.1082,0.2628,0.3802,0.5382,1.13,0.0329,1.624,27.17,11.64,19.91,26.12,34.18,47.91,5.107,55.41,9.635e-06,4.209e-06,7.127e-06,9.352e-06,1.21e-05,1.609e-05,1.846e-06,2.136e-05,40.63,15.37,25.32,33.01,41.93,85.7,11.72,197.3,0.007727,0.001802,0.004453,0.006646,0.009189,0.01876,0.0004587,0.03097,0.01382,0.00289,0.007659,0.01146,0.0168,0.03677,0.0008033,0.05607,0.4876,0.1107,0.2884,0.4243,0.594,1.234,0.03362,1.821,2.174,0.6287,1.454,1.88,2.64,5.029,0.2096,7.442
50,420,64.57,54.7,62.33,65.36,67.3,71.63,50.01,74.83,34.51,31.38,33.41,34.48,35.49,38.33,28.01,41.6,0.9324,0.8589,0.9228,0.9407,0.951,0.9685,0.7855,0.9871,4.203,3.232,3.641,3.95,4.405,5.341,2.676,16.74,2.094e+05,4.63e+04,1.317e+05,1.891e+05,2.581e+05,5.211e+05,15735,632131,0.5957,0.1304,0.3696,0.5117,0.7226,1.466,0.04551,1.924,25.46,10.73,19.25,24.34,31.76,41.51,4.562,48.97,9.013e-06,3.82e-06,7.002e-06,8.789e-06,1.132e-05,1.445e-05,1.649e-06,1.691e-05,30.54,11.55,19.03,23.48,31.36,70.61,9.889,163.9,0.009237,0.002145,0.005496,0.007976,0.01098,0.02139,0.0006081,0.03429,0.01789,0.00341,0.01029,0.01478,0.02151,0.04541,0.001094,0.06871,0.6381,0.1371,0.3895,0.5638,0.7696,1.532,0.04638,2.152,2.402,0.585,1.563,2.111,2.992,4.857,0.1793,10.3
50,444,68.58,59.03,66.11,69.29,71.15,76.28,53.1,79.41,35.62,32.97,34.48,35.55,36.45,39.4,31.4,42.36,0.9395,0.8727,0.9317,0.948,0.9561,0.9713,0.787,0.9882,3.794,3.169,3.519,3.713,3.993,4.758,2.449,6.21,2.332e+05,5.344e+04,1.452e+05,2.05e+05,2.854e+05,5.646e+05,17522,715258,0.6641,0.1639,0.3935,0.5719,0.8209,1.611,0.05067,2.331,33.36,14.67,25.23,32.18,42.41,54.46,5.849,64.57,1.182e-05,5.302e-06,9.422e-06,1.134e-05,1.483e-05,1.879e-05,2.114e-06,2.364e-05,26.98,10.27,16.83,21.6,28.26,58.39,8.165,132.5,0.009621,0.002307,0.005804,0.008343,0.01152,0.0226,0.0006535,0.03545,0.01921,0.004123,0.01076,0.01601,0.02339,0.04829,0.001201,0.07423,0.7047,0.1665,0.4239,0.6268,0.857,1.691,0.05161,2.5,2.412,0.6256,1.553,2.144,3.086,5.512,0.1973,7.656
60,420,74.08,66.62,72.7,74.92,76.31,79.31,62.48,80.33,36.47,32.89,35.38,36.42,37.5,39.81,29.06,42.9,0.9526,0.9098,0.9423,0.9601,0.9678,0.9787,0.8615,0.9917,3.024,2.275,2.615,2.913,3.251,4.267,2.021,5.178,3.146e+05,7.484e+04,2.081e+05,2.861e+05,3.861e+05,7.179e+05,26750,854761,0.8933,0.2237,0.5884,0.827,1.084,1.975,0.07736,2.63,31.26,13.4,23.71,30.18,38.37,47.7,6.149,56.76,1.103e-05,4.846e-06,8.779e-06,1.087e-05,1.364e-05,1.689e-05,2.223e-06,1.873e-05,18.9,8.404,12.57,15.6,19.59,46.12,7.235,89.09,0.01202,0.003016,0.00775,0.01105,0.01464,0.02621,0.0009631,0.03944,0.02525,0.005688,0.01562,0.02269,0.02984,0.05759,0.001803,0.09053,0.9365,0.2365,0.6079,0.8766,1.129,2.033,0.07857,2.86,2.63,0.674,1.727,2.305,3.155,4.899,0.2251,12.48
60,444,77.43,69.31,76.43,78.09,79.58,82.57,64.96,84.98,37.99,35.7,37,38.01,38.65,40.39,34.26,44.05,0.9596,0.9151,0.953,0.9664,0.9718,0.9809,0.8638,0.9927,2.644,2.165,2.417,2.62,2.815,3.112,1.565,4.688,3.566e+05,9.157e+04,2.3e+05,3.175e+05,4.405e+05,8.17e+05,30726,992580,1.014,0.2648,0.6504,0.9164,1.216,2.282,0.08886,3.372,41.5,18.33,31.44,40.21,51.57,64.11,8.905,75.11,1.468e-05,6.627e-06,1.208e-05,1.423e-05,1.827e-05,2.225e-05,3.219e-06,2.621e-05,16.5,7.445,10.96,13.54,17.9,36.81,5.643,77.26,0.01299,0.003514,0.008402,0.01179,0.01546,0.02845,0.001079,0.04384,0.02727,0.006512,0.01676,0.02399,0.03244,0.06298,0.002041,0.09843,1.054,0.2813,0.6738,0.9565,1.244,2.351,0.09018,3.508,2.548,0.7335,1.764,2.353,3.19,4.752,0.2748,7.855
70,420,78.92,72.46,77.5,79.66,81.06,82.95,70.32,84.05,37.75,34.16,36.7,37.97,39.02,40.69,29.53,43.82,0.963,0.9214,0.9552,0.9685,0.9756,0.9813,0.9008,0.9936,2.606,1.779,2.118,2.404,2.778,4.239,1.592,6.608,4.083e+05,1.008e+05,2.726e+05,3.724e+05,5.012e+05,8.675e+05,40632,1025638,1.157,0.2989,0.7839,1.08,1.393,2.38,0.1175,3.166,33.03,16.98,26.52,32.91,40.56,48.5,6.912,56.97,1.165e-05,5.958e-06,9.629e-06,1.165e-05,1.409e-05,1.68e-05,2.499e-06,1.76e-05,13.98,6.964,9.801,11.78,14.88,28.84,6.012,64.68,0.01463,0.003896,0.009696,0.01383,0.0174,0.02995,0.001398,0.04462,0.03152,0.007415,0.02025,0.02832,0.03797,0.0703,0.002682,0.1072,1.201,0.3072,0.8048,1.136,1.425,2.433,0.1191,3.403,2.979,0.7624,1.823,2.621,3.573,5.392,0.2769,14.85
70,444,81.99,74.52,80.68,82.47,84.04,85.81,71.89,87.94,39.66,37.67,38.77,39.65,40.21,41.7,36.25,45.07,0.97,0.9343,0.9652,0.975,0.9797,0.9855,0.9206,0.9946,2.168,1.787,1.976,2.129,2.368,2.603,1.293,3.311,4.696e+05,1.272e+05,3.143e+05,4.241e+05,5.671e+05,1.053e+06,50475,1217833,1.334,0.3689,0.8835,1.228,1.61,2.82,0.146,4.234,44.22,23.31,33.97,43.9,54.82,63.02,10.59,74.76,1.561e-05,8.483e-06,1.278e-05,1.584e-05,1.868e-05,2.249e-05,3.828e-06,2.5e-05,12.01,6.143,8.537,10.25,13.2,24.76,4.495,52.98,0.01614,0.004509,0.01066,0.0151,0.01933,0.03313,0.001701,0.05146,0.03421,0.008591,0.022,0.03098,0.04146,0.07387,0.003267,0.1168,1.372,0.38,0.9074,1.265,1.659,2.879,0.1477,4.348,2.763,0.8955,2.027,2.547,3.335,5.123,0.3354,8.259
