quality,crop,ssimulacra2_mean,ssimulacra2_p05,ssimulacra2_p25,ssimulacra2_p50,ssimulacra2_p75,ssimulacra2_p95,ssimulacra2_min,ssimulacra2_max,psnr_mean,psnr_p05,psnr_p25,psnr_p50,psnr_p75,psnr_p95,psnr_min,psnr_max,ssim_mean,ssim_p05,ssim_p25,ssim_p50,ssim_p75,ssim_p95,ssim_min,ssim_max,butteraugli_mean,butteraugli_p05,butteraugli_p25,butteraugli_p50,butteraugli_p75,butteraugli_p95,butteraugli_min,butteraugli_max,file_size_mean,file_size_p05,file_size_p25,file_size_p50,file_size_p75,file_size_p95,file_size_min,file_size_max,bits_per_pixel_mean,bits_per_pixel_p05,bits_per_pixel_p25,bits_per_pixel_p50,bits_per_pixel_p75,bits_per_pixel_p95,bits_per_pixel_min,bits_per_pixel_max,encoding_time_mean,encoding_time_p05,encoding_time_p25,encoding_time_p50,encoding_time_p75,encoding_time_p95,encoding_time_min,encoding_time_max,encoding_time_per_pixel_mean,encoding_time_per_pixel_p05,encoding_time_per_pixel_p25,encoding_time_per_pixel_p50,encoding_time_per_pixel_p75,encoding_time_per_pixel_p95,encoding_time_per_pixel_min,encoding_time_per_pixel_max,compression_ratio_mean,compression_ratio_p05,compression_ratio_p25,compression_ratio_p50,compression_ratio_p75,compression_ratio_p95,compression_ratio_min,compression_ratio_max,bits_per_ssimulacra2_per_pixel_mean,bits_per_ssimulacra2_per_pixel_p05,bits_per_ssimulacra2_per_pixel_p25,bits_per_ssimulacra2_per_pixel_p50,bits_per_ssimulacra2_per_pixel_p75,bits_per_ssimulacra2_per_pixel_p95,bits_per_ssimulacra2_per_pixel_min,bits_per_ssimulacra2_per_pixel_max,bits_per_psnr_per_pixel_mean,bits_per_psnr_per_pixel_p05,bits_per_psnr_per_pixel_p25,bits_per_psnr_per_pixel_p50,bits_per_psnr_per_pixel_p75,bits_per_psnr_per_pixel_p95,bits_per_psnr_per_pixel_min,bits_per_psnr_per_pixel_max,bits_per_ssim_per_pixel_mean,bits_per_ssim_per_pixel_p05,bits_per_ssim_per_pixel_p25,bits_per_ssim_per_pixel_p50,bits_per_ssim_per_pixel_p75,bits_per_ssim_per_pixel_p95,bits_per_ssim_per_pixel_min,bits_per_ssim_per_pixel_max,bits_per_butteraugli_per_pixel_mean,bits_per_butteraugli_per_pixel_p05,bits_per_butteraugli_per_pixel_p25,bits_per_butteraugli_per_pixel_p50,bits_per_butteraugli_per_pixel_p75,bits_per_butteraugli_per_pixel_p95,bits_per_butteraugli_per_pixel_min,bits_per_butteraugli_per_pixel_max
40,400,52.03,29.63,46.08,54.73,60.88,68.5,14.73,77.61,32.03,29.27,30.86,31.72,33.24,35.19,27.56,37.55,0.8501,0.7055,0.8137,0.8694,0.9057,0.9391,0.4868,0.9578,4.056,3.303,3.668,4.038,4.408,4.884,3.013,5.638,7548,1693,4134,7049,1.046e+04,1.529e+04,764,25469,0.554,0.1247,0.3016,0.5277,0.7584,1.166,0.05744,1.915,1.285,0.4997,0.9711,1.303,1.592,1.999,0.234,2.573,1.175e-05,4.732e-06,9.107e-06,1.209e-05,1.446e-05,1.809e-05,2.199e-06,2.419e-05,40.05,15.6,20.97,28.38,42.05,101.6,9.934,233.5,0.01064,0.002716,0.006283,0.009524,0.01387,0.02212,0.001742,0.03566,0.01778,0.003585,0.008962,0.01571,0.02511,0.03819,0.001631,0.06947,0.6389,0.1566,0.3484,0.5888,0.8802,1.276,0.07342,2.147,2.122,0.5424,1.244,2.037,2.85,3.886,0.2524,6.538
40,800,53.27,33.71,46.35,55.11,60.96,68.94,22.66,75.55,32.13,29.21,31.04,31.88,33.3,35.13,27.46,37.71,0.855,0.7327,0.8205,0.8697,0.9075,0.9403,0.4865,0.9583,4.004,3.223,3.711,3.997,4.301,4.675,2.865,5.415,2.93e+04,6953,1.572e+04,2.57e+04,3.857e+04,6.22e+04,4030,97554,0.5401,0.1379,0.2932,0.483,0.6523,1.169,0.07261,1.834,5.03,2.33,4.137,4.793,6.073,8.093,1.278,10.59,1.152e-05,5.469e-06,9.634e-06,1.105e-05,1.367e-05,1.754e-05,3.002e-06,2.488e-05,36.96,15.42,22.76,28.5,44.54,84.41,10.14,182.3,0.01042,0.002481,0.006121,0.00897,0.01219,0.02097,0.001601,0.063,0.01722,0.004054,0.00888,0.01519,0.02127,0.0387,0.002197,0.06678,0.6264,0.167,0.3501,0.5765,0.7692,1.319,0.09529,2.393,2.068,0.6002,1.282,2.008,2.665,4.036,0.3226,6.921
40,1200,52.8,32.29,46.99,53.82,60.49,68.35,20.95,75.59,32.06,29.22,30.8,31.91,33.31,35.24,27.49,37.73,0.8534,0.732,0.8168,0.8696,0.9041,0.9372,0.5061,0.9569,3.992,3.265,3.668,4.008,4.269,4.743,2.827,5.353,6.365e+04,1.482e+04,3.828e+04,5.676e+04,7.844e+04,1.338e+05,8943,191401,0.5216,0.1239,0.3179,0.4567,0.6212,1.117,0.07157,1.599,10.9,4.928,8.463,10.61,12.92,17.32,2.725,22.13,1.111e-05,5.509e-06,8.724e-06,1.066e-05,1.332e-05,1.799e-05,2.846e-06,2.291e-05,36.07,16.07,23.16,29.71,41.25,73.19,11.33,182.1,0.01036,0.002282,0.006239,0.008563,0.01201,0.02162,0.001424,0.05881,0.01661,0.003367,0.009955,0.01448,0.01991,0.03641,0.002166,0.05817,0.6104,0.134,0.3911,0.5349,0.7226,1.288,0.0845,2.179,2.006,0.5754,1.304,1.803,2.466,3.756,0.2903,6.439
40,1600,52.56,33.49,46.83,53.99,59.81,68.88,21.99,76.62,32.02,29.06,30.73,31.89,33.23,35.28,27.22,37.57,0.8529,0.735,0.8202,0.8647,0.9023,0.9368,0.5405,0.9552,4.075,3.309,3.732,4.03,4.326,5.026,3.211,5.555,1.086e+05,2.278e+04,6.819e+04,9.669e+04,1.337e+05,2.37e+05,11276,319630,0.5003,0.09544,0.3058,0.4391,0.6171,1.125,0.05299,1.588,18.27,7.504,14.42,17.76,21.53,30.14,4.724,35.18,1.048e-05,4.4e-06,8.234e-06,1.019e-05,1.237e-05,1.703e-05,2.775e-06,2.131e-05,37.7,15.68,23.93,30.18,40.19,80.16,12.08,201.6,0.01002,0.002022,0.005751,0.008285,0.01267,0.02084,0.0009805,0.05685,0.01591,0.00292,0.009573,0.01404,0.01914,0.03731,0.001605,0.05377,0.5872,0.1161,0.3619,0.5179,0.7372,1.196,0.06454,2.174,1.952,0.4347,1.252,1.812,2.394,3.974,0.2732,6.814
40,2048,51.5,33.14,45.22,52.64,58.03,67.06,21.23,76,31.87,28.43,30.59,31.77,33.22,35.39,26.97,37.42,0.8491,0.7297,0.8133,0.8615,0.8961,0.9322,0.5333,0.9563,4.209,3.527,3.899,4.14,4.434,5.14,3.105,5.685,1.574e+05,3.708e+04,9.575e+04,1.351e+05,1.884e+05,3.949e+05,11377,516388,0.4462,0.1072,0.2618,0.3777,0.5396,1.134,0.0329,1.624,27.52,11.55,20.28,26.85,34.16,48.49,4.97,56.22,9.719e-06,4.174e-06,7.051e-06,9.325e-06,1.214e-05,1.647e-05,1.797e-06,2.145e-05,41.4,15.42,25.13,32.95,42.68,89.77,11.83,205.6,0.009124,0.001982,0.004792,0.00733,0.01055,0.02026,0.0005981,0.05816,0.01423,0.003247,0.008309,0.01176,0.01756,0.03852,0.0009934,0.05493,0.5262,0.1269,0.3021,0.4424,0.6314,1.218,0.03998,2.225,1.803,0.4653,1.142,1.523,2.186,4.106,0.1455,6.633
50,400,65.82,47.74,59.77,67.9,71.99,77.36,40.01,82.24,34.05,31.88,33.15,33.82,34.94,36.6,30.12,39.35,0.9019,0.8028,0.8673,0.9246,0.9398,0.9656,0.7261,0.973,2.927,2.266,2.646,2.883,3.189,3.604,2.07,3.975,1.169e+04,3030,7028,1.103e+04,1.603e+04,2.142e+04,1564,37362,0.8575,0.2286,0.5056,0.7843,1.161,1.63,0.1176,2.809,1.667,0.8136,1.399,1.725,1.99,2.383,0.4061,2.896,1.524e-05,7.636e-06,1.247e-05,1.574e-05,1.839e-05,2.223e-05,3.816e-06,2.54e-05,23.49,10.6,13.54,19.25,26.83,48.52,6.772,92.95,0.01281,0.004224,0.008269,0.01196,0.01634,0.02456,0.002374,0.04093,0.02565,0.00591,0.01462,0.02328,0.03473,0.0499,0.003214,0.09328,0.9373,0.2534,0.5807,0.8784,1.248,1.764,0.139,2.987,2.36,0.7905,1.593,2.305,3.036,4.187,0.4184,6.164
50,800,66.59,51.21,60.91,68.1,72.17,77.08,41.85,83.09,34.16,31.84,33.41,33.93,35.02,36.56,30.13,39.32,0.9058,0.8226,0.8781,0.9246,0.9419,0.9628,0.7473,0.9725,2.901,2.299,2.633,2.922,3.137,3.484,2.077,3.807,4.436e+04,1.155e+04,2.636e+04,4.102e+04,5.844e+04,8.948e+04,6208,142402,0.8173,0.2181,0.4784,0.7427,0.9902,1.682,0.1119,2.677,6.235,3.235,5.022,6.337,7.284,9.414,1.563,11.63,1.426e-05,7.379e-06,1.18e-05,1.374e-05,1.646e-05,2.135e-05,3.673e-06,2.713e-05,23.36,10.66,14.59,18.64,27.4,50.19,6.947,118.4,0.01225,0.003024,0.007567,0.01138,0.01443,0.02403,0.001791,0.05082,0.02431,0.005736,0.01401,0.02213,0.02943,0.05011,0.003328,0.08884,0.8953,0.2321,0.5541,0.8239,1.073,1.771,0.1275,3.108,2.271,0.6813,1.541,2.189,2.667,4.048,0.3698,8.209
50,1200,66.32,50.1,61.8,67.64,71.56,76.33,46.46,82.48,34.09,31.76,33.21,33.98,35.06,36.54,30.13,39.35,0.9048,0.8049,0.8745,0.9232,0.9385,0.9616,0.7446,0.9712,2.928,2.451,2.722,2.927,3.147,3.433,2.147,3.828,9.523e+04,2.137e+04,5.991e+04,8.903e+04,1.148e+05,1.947e+05,13023,282202,0.7802,0.1785,0.4945,0.7289,0.9339,1.627,0.1051,2.358,13.4,6.494,10.63,13.05,15.77,20.49,3.521,26.52,1.365e-05,7.085e-06,1.11e-05,1.333e-05,1.619e-05,2.09e-05,3.677e-06,2.745e-05,23.67,10.98,15.03,19.24,26.5,47.88,7.683,124.1,0.01185,0.002638,0.007525,0.01023,0.01482,0.02362,0.001619,0.04764,0.02321,0.005044,0.01451,0.02157,0.02736,0.04753,0.003047,0.07825,0.859,0.1968,0.5514,0.7813,1.05,1.717,0.1168,2.785,2.207,0.5821,1.476,2.086,2.685,4.009,0.3426,7.387
50,1600,66.11,49.85,61.58,67.48,71.18,76.73,46.88,80.93,34.05,31.64,33.03,34.02,35.1,36.67,29.86,39.28,0.9044,0.8135,0.8773,0.9192,0.9372,0.962,0.7445,0.9711,2.968,2.434,2.741,2.937,3.168,3.595,2.128,4.093,1.616e+05,3.352e+04,1.032e+05,1.545e+05,2.013e+05,3.439e+05,17487,441821,0.7442,0.1565,0.4639,0.6557,0.9459,1.573,0.08218,2.302,22.41,9.443,17.81,21.97,27.04,34.95,6.021,39.92,1.284e-05,5.542e-06,1.039e-05,1.244e-05,1.519e-05,2.054e-05,3.537e-06,2.391e-05,24.99,11.03,15.57,19.58,26.77,51.81,8.333,137.2,0.01139,0.002517,0.007001,0.009793,0.01468,0.0222,0.001246,0.04718,0.02212,0.004454,0.01358,0.01994,0.02738,0.04776,0.002399,0.07259,0.8208,0.1782,0.5187,0.7466,1.038,1.623,0.09628,2.752,2.122,0.475,1.44,1.901,2.69,4.096,0.292,7.575
50,2048,65.51,50.12,60.44,66.65,70.78,75.97,44.37,81.48,33.91,31.31,32.88,33.85,34.96,36.69,29.59,39.16,0.902,0.8097,0.8739,0.9157,0.9337,0.9601,0.7444,0.9691,3.011,2.467,2.773,2.99,3.237,3.751,2.216,4.021,2.339e+05,5.331e+04,1.424e+05,2.076e+05,2.869e+05,5.654e+05,17522,715258,0.663,0.163,0.3928,0.5685,0.821,1.612,0.05067,2.331,33.84,14.5,25.94,32.53,43.06,55.13,6.401,64.55,1.194e-05,5.241e-06,9.443e-06,1.136e-05,1.512e-05,1.913e-05,2.314e-06,2.387e-05,27.48,10.31,16.77,21.83,29.53,60.58,8.244,138,0.01023,0.002313,0.006073,0.008737,0.01233,0.02244,0.0007737,0.04685,0.01977,0.0044,0.0114,0.01701,0.02435,0.05122,0.001479,0.07331,0.7331,0.1754,0.436,0.6307,0.8912,1.678,0.05945,2.773,1.904,0.5044,1.264,1.684,2.335,4.103,0.1664,6.496
60,400,77.27,66.44,74.23,78.98,81.06,83.99,60.45,87.52,36.65,34.88,36.01,36.55,37.14,38.73,33.26,41.13,0.945,0.8881,0.9289,0.9567,0.9658,0.9786,0.8512,0.9877,2.01,1.566,1.769,1.988,2.251,2.495,1.363,2.612,1.847e+04,5825,1.252e+04,1.815e+04,2.365e+04,3.102e+04,3330,54490,1.354,0.4403,0.9211,1.318,1.73,2.413,0.2504,4.097,2.119,1.248,1.856,2.19,2.408,2.794,0.6309,3.764,1.937e-05,1.166e-05,1.63e-05,2.013e-05,2.215e-05,2.562e-05,5.929e-06,3.044e-05,13.25,7.405,8.914,11.76,14.91,26.68,4.643,37.98,0.01735,0.00642,0.01193,0.01692,0.02165,0.02989,0.003706,0.05152,0.03739,0.01192,0.02503,0.03549,0.04838,0.06909,0.006452,0.1232,1.423,0.4958,0.986,1.374,1.789,2.459,0.2748,4.22,2.571,1.096,1.86,2.624,3.098,4.127,0.6539,7.153
60,800,77.83,69.29,75.42,78.96,81.23,83.86,61.96,86.92,36.77,34.84,36.11,36.69,37.35,38.71,33.19,41.12,0.9473,0.8916,0.9331,0.9571,0.9663,0.9771,0.8619,0.988,2.01,1.607,1.809,2.008,2.181,2.403,1.4,3.385,6.88e+04,1.93e+04,4.51e+04,6.552e+04,8.787e+04,1.259e+05,9659,206798,1.266,0.3628,0.8108,1.186,1.53,2.366,0.1816,3.887,7.698,4.491,6.568,7.745,9.011,10.53,1.909,13.56,1.758e-05,1.057e-05,1.5e-05,1.764e-05,2.045e-05,2.472e-05,4.484e-06,3.162e-05,13.84,7.495,9.635,11.92,16,23.99,4.784,59.69,0.0162,0.005102,0.01092,0.01525,0.01915,0.02976,0.00239,0.05571,0.0348,0.009684,0.02214,0.03216,0.04266,0.06624,0.00486,0.1171,1.331,0.4005,0.872,1.273,1.61,2.472,0.1913,4.224,2.424,0.9941,1.776,2.319,2.835,4.102,0.3849,7.408
