quality,speed,ssimulacra2_mean,ssimulacra2_p05,ssimulacra2_p25,ssimulacra2_p50,ssimulacra2_p75,ssimulacra2_p95,ssimulacra2_min,ssimulacra2_max,psnr_mean,psnr_p05,psnr_p25,psnr_p50,psnr_p75,psnr_p95,psnr_min,psnr_max,ssim_mean,ssim_p05,ssim_p25,ssim_p50,ssim_p75,ssim_p95,ssim_min,ssim_max,butteraugli_mean,butteraugli_p05,butteraugli_p25,butteraugli_p50,butteraugli_p75,butteraugli_p95,butteraugli_min,butteraugli_max,file_size_mean,file_size_p05,file_size_p25,file_size_p50,file_size_p75,file_size_p95,file_size_min,file_size_max,bits_per_pixel_mean,bits_per_pixel_p05,bits_per_pixel_p25,bits_per_pixel_p50,bits_per_pixel_p75,bits_per_pixel_p95,bits_per_pixel_min,bits_per_pixel_max,encoding_time_mean,encoding_time_p05,encoding_time_p25,encoding_time_p50,encoding_time_p75,encoding_time_p95,encoding_time_min,encoding_time_max,encoding_time_per_pixel_mean,encoding_time_per_pixel_p05,encoding_time_per_pixel_p25,encoding_time_per_pixel_p50,encoding_time_per_pixel_p75,encoding_time_per_pixel_p95,encoding_time_per_pixel_min,encoding_time_per_pixel_max,compression_ratio_mean,compression_ratio_p05,compression_ratio_p25,compression_ratio_p50,compression_ratio_p75,compression_ratio_p95,compression_ratio_min,compression_ratio_max,bits_per_ssimulacra2_per_pixel_mean,bits_per_ssimulacra2_per_pixel_p05,bits_per_ssimulacra2_per_pixel_p25,bits_per_ssimulacra2_per_pixel_p50,bits_per_ssimulacra2_per_pixel_p75,bits_per_ssimulacra2_per_pixel_p95,bits_per_ssimulacra2_per_pixel_min,bits_per_ssimulacra2_per_pixel_max,bits_per_psnr_per_pixel_mean,bits_per_psnr_per_pixel_p05,bits_per_psnr_per_pixel_p25,bits_per_psnr_per_pixel_p50,bits_per_psnr_per_pixel_p75,bits_per_psnr_per_pixel_p95,bits_per_psnr_per_pixel_min,bits_per_psnr_per_pixel_max,bits_per_ssim_per_pixel_mean,bits_per_ssim_per_pixel_p05,bits_per_ssim_per_pixel_p25,bits_per_ssim_per_pixel_p50,bits_per_ssim_per_pixel_p75,bits_per_ssim_per_pixel_p95,bits_per_ssim_per_pixel_min,bits_per_ssim_per_pixel_max,bits_per_butteraugli_per_pixel_mean,bits_per_butteraugli_per_pixel_p05,bits_per_butteraugli_per_pixel_p25,bits_per_butteraugli_per_pixel_p50,bits_per_butteraugli_per_pixel_p75,bits_per_butteraugli_per_pixel_p95,bits_per_butteraugli_per_pixel_min,bits_per_butteraugli_per_pixel_max
35,0,51.84,41.29,47.73,51.76,56.11,63.85,26.29,68.85,32.93,29.99,31.77,32.71,33.62,36.82,27.9,40.48,0.9037,0.8578,0.8933,0.9109,0.9231,0.9549,0.6285,0.9773,5.964,4.916,5.461,5.877,6.479,6.994,4.786,8.191,1.166e+05,3.096e+04,8.194e+04,1.055e+05,1.301e+05,2.571e+05,9388,388606,0.3342,0.08288,0.237,0.3018,0.3905,0.6496,0.02715,1.351,111.9,49.57,87.47,111.2,130.2,181.4,21.11,246.4,3.984e-05,1.675e-05,3.28e-05,3.867e-05,4.718e-05,6.556e-05,7.631e-06,0.0001011,47.77,23.73,33.92,41.61,48.67,97.06,14.09,149.3,0.006562,0.001653,0.004408,0.006037,0.007573,0.01376,0.0003944,0.0292,0.01052,0.002301,0.007142,0.009423,0.01216,0.02128,0.0006707,0.04843,0.3717,0.09246,0.2546,0.3328,0.4409,0.7132,0.02778,1.552,1.913,0.5217,1.384,1.741,2.223,3.58,0.1719,6.668
35,1,51.13,40.54,46.51,51.09,55.33,62.92,25.23,68.71,32.85,29.88,31.68,32.63,33.58,36.78,27.82,40.39,0.9023,0.8578,0.89,0.9091,0.9211,0.9536,0.627,0.9771,6.132,5.226,5.622,6.003,6.419,7.94,4.838,8.335,1.157e+05,3.074e+04,8.151e+04,1.04e+05,1.292e+05,2.516e+05,9376,384159,0.3317,0.08224,0.2357,0.2998,0.3857,0.6369,0.02712,1.336,43.15,21.57,34.83,41.66,49.43,70.09,8.418,85.08,1.536e-05,7.434e-06,1.229e-05,1.49e-05,1.751e-05,2.534e-05,3.043e-06,3.523e-05,48.04,24.12,34.18,41.49,49.04,97.7,14.25,152.2,0.006628,0.001658,0.004446,0.006099,0.007646,0.01398,0.0003946,0.02969,0.01047,0.002285,0.00712,0.00942,0.01205,0.02094,0.0006713,0.04801,0.3697,0.09176,0.2534,0.3323,0.4336,0.7018,0.02775,1.54,1.945,0.563,1.423,1.84,2.307,3.504,0.2024,6.981
35,2,50.99,40.58,46.2,51.17,55.24,62.89,25.74,68.42,32.83,29.84,31.67,32.62,33.55,36.79,27.79,40.38,0.902,0.8569,0.8893,0.9084,0.921,0.9532,0.6275,0.9771,6.119,5.185,5.612,6.03,6.558,7.399,5.035,7.745,1.155e+05,3.066e+04,8.138e+04,1.039e+05,1.291e+05,2.515e+05,9366,382534,0.331,0.08203,0.2353,0.3004,0.3848,0.6361,0.02709,1.33,36.15,18.76,29.74,35.27,41.28,59.52,8.021,70.66,1.286e-05,6.403e-06,1.015e-05,1.228e-05,1.467e-05,2.142e-05,2.9e-06,2.852e-05,48.14,24.16,34.19,41.53,49.13,97.89,14.31,151.9,0.006632,0.001653,0.004436,0.006108,0.007637,0.01387,0.0003959,0.0297,0.01045,0.00228,0.00711,0.009402,0.01203,0.02093,0.0006708,0.04786,0.369,0.09153,0.2532,0.3323,0.4325,0.7015,0.02772,1.534,1.956,0.529,1.473,1.748,2.293,3.537,0.1839,7.146
35,3,50.44,40.01,45.73,50.65,54.93,62.43,24.9,68.33,32.75,29.76,31.55,32.45,33.46,36.72,27.74,40.3,0.9008,0.8556,0.8881,0.9076,0.9205,0.9521,0.6239,0.977,6.33,5.258,5.787,6.151,6.635,7.571,4.955,9.511,1.149e+05,3.033e+04,8.088e+04,1.032e+05,1.279e+05,2.505e+05,9338,380995,0.3292,0.08114,0.2339,0.2955,0.3797,0.6337,0.02701,1.325,23.2,10.97,18.18,23.32,26.89,39.48,4.524,46.28,8.248e-06,3.709e-06,6.34e-06,8.365e-06,9.452e-06,1.285e-05,1.635e-06,1.878e-05,48.5,24.23,34.35,41.51,49.43,99.13,14.37,154.2,0.006672,0.001658,0.004439,0.006124,0.007686,0.01406,0.0003952,0.02984,0.01042,0.002259,0.007085,0.009346,0.01191,0.0209,0.0006702,0.04774,0.3676,0.09061,0.2527,0.3309,0.4313,0.6996,0.02764,1.53,1.986,0.5563,1.522,1.799,2.303,3.662,0.1985,6.563
35,4,50.2,40.08,45.41,50.47,55.07,62.29,25.37,68.1,32.72,29.65,31.52,32.44,33.42,36.71,27.67,40.33,0.9002,0.854,0.8865,0.9067,0.9197,0.9517,0.6237,0.977,6.175,5.325,5.747,6.177,6.534,7.21,4.9,7.769,1.157e+05,3.027e+04,8.149e+04,1.043e+05,1.295e+05,2.508e+05,9463,380465,0.3317,0.08101,0.2357,0.2982,0.3832,0.6339,0.02737,1.323,13,7.662,10.07,12.22,14.92,22.61,2.752,23.8,4.62e-06,2.712e-06,3.684e-06,4.418e-06,5.406e-06,7.25e-06,9.949e-07,1.034e-05,48.12,24.19,34.03,40.57,49.33,98.23,14.39,154,0.006761,0.001645,0.004534,0.006155,0.00777,0.01409,0.0004019,0.03006,0.01051,0.002255,0.007145,0.00938,0.01204,0.02097,0.0006786,0.04781,0.3707,0.09045,0.2566,0.3345,0.4339,0.7014,0.02801,1.531,1.991,0.5367,1.448,1.885,2.242,3.581,0.1691,7.552
35,5,49.9,39.75,44.97,50.17,54.91,61.84,25.17,67.98,32.58,29.49,31.37,32.39,33.28,36.56,27.54,40.2,0.8985,0.8525,0.8848,0.9054,0.9178,0.9505,0.6235,0.9764,6.141,5.453,5.649,6.025,6.519,7.109,5.275,7.704,1.156e+05,3.025e+04,8.134e+04,1.037e+05,1.296e+05,2.495e+05,9586,381979,0.3312,0.08094,0.2355,0.2981,0.3845,0.6302,0.02772,1.328,9.055,5.483,7.561,8.918,10.46,15.3,2.227,15.92,3.218e-06,1.92e-06,2.634e-06,3.165e-06,3.677e-06,4.891e-06,8.05e-07,6.808e-06,48.19,24.3,34.17,40.43,49.58,97.82,14.33,154.1,0.0068,0.001646,0.004555,0.006181,0.007806,0.01421,0.0004078,0.03052,0.01055,0.002258,0.007164,0.009371,0.01211,0.02096,0.0006897,0.04822,0.371,0.09044,0.2577,0.3344,0.4321,0.6996,0.02839,1.541,1.972,0.5192,1.432,1.773,2.259,3.599,0.1808,7.236
35,6,47.6,37.34,42.36,48.22,52.56,59.39,23.68,67.65,32.32,29.04,31.17,32.09,33.05,36.38,27.08,40.03,0.8932,0.8428,0.8799,0.8992,0.9155,0.9471,0.6217,0.9758,6.598,5.646,6.107,6.474,6.837,8.278,5.133,9.695,1.161e+05,3.182e+04,8.196e+04,1.047e+05,1.307e+05,2.461e+05,10484,364226,0.3326,0.08514,0.237,0.3027,0.3823,0.6191,0.03032,1.266,2.071,1.132,1.607,1.972,2.571,3.186,0.5953,4.122,7.347e-07,4.121e-07,5.798e-07,6.906e-07,8.919e-07,1.106e-06,2.152e-07,1.49e-06,47.1,24.67,33.94,39.85,49.4,93.32,15.03,146.9,0.007209,0.001789,0.004799,0.0064,0.008348,0.01493,0.0004482,0.03187,0.01069,0.002387,0.007326,0.009541,0.01225,0.02082,0.0007574,0.04676,0.375,0.09536,0.2671,0.3396,0.4334,0.6957,0.03107,1.488,2.14,0.5413,1.634,2.007,2.504,4.335,0.197,7.139
35,7,43.71,34.14,39.22,44.51,48.18,54.57,19.38,63.63,31.66,28.71,30.48,31.4,32.3,35.6,26.82,39.09,0.883,0.8339,0.87,0.8876,0.9052,0.9385,0.6138,0.9736,7.702,6.304,6.878,7.427,8.242,9.872,6.055,11.15,1.116e+05,3.229e+04,7.831e+04,1.042e+05,1.244e+05,2.369e+05,10644,350214,0.3194,0.08688,0.2267,0.2915,0.3664,0.5964,0.03078,1.218,1.45,0.8703,1.206,1.498,1.642,2.102,0.4963,2.347,5.14e-07,3.055e-07,4.431e-07,5.076e-07,5.998e-07,6.876e-07,1.794e-07,8.234e-07,47.92,25.82,36.04,42.08,51.83,93.72,15.63,130.9,0.007518,0.002026,0.005018,0.00702,0.008746,0.01497,0.0004838,0.03255,0.01045,0.002493,0.007118,0.009277,0.01187,0.02033,0.0007875,0.0454,0.3646,0.09827,0.2589,0.3229,0.4148,0.6736,0.03162,1.448,2.375,0.7806,1.741,2.253,2.67,4.302,0.2549,7.802
35,8,41.19,30.68,36.56,42.46,46.5,51.88,15.97,62.95,31.54,28.53,30.35,31.28,32.22,35.56,26.61,39.06,0.8781,0.8264,0.8672,0.8828,0.9001,0.9359,0.6148,0.973,8.399,6.71,7.724,8.449,8.933,10.38,6.316,11.26,1.116e+05,3.201e+04,7.729e+04,1.032e+05,1.246e+05,2.339e+05,10980,351311,0.3194,0.0864,0.2244,0.287,0.3651,0.592,0.03175,1.221,0.8011,0.4257,0.6218,0.7904,0.9624,1.282,0.2981,1.333,2.839e-07,1.442e-07,2.287e-07,2.612e-07,3.466e-07,4.346e-07,1.077e-07,4.826e-07,47.9,25.96,36.17,42.73,51.92,92.85,15.58,134.2,0.008101,0.002087,0.005475,0.007543,0.009369,0.01704,0.0005044,0.03619,0.0105,0.002484,0.007132,0.009323,0.01185,0.02026,0.000813,0.0459,0.367,0.0999,0.26,0.3227,0.4199,0.6736,0.03264,1.471,2.674,0.6887,1.953,2.422,2.838,4.593,0.2743,12.66
35,9,40.9,30.24,36.01,42.46,46.25,51.07,16.97,63.71,31.23,28.01,29.87,31.02,31.88,35.54,26.03,38.96,0.8748,0.8209,0.866,0.8784,0.8966,0.9352,0.6171,0.9732,8.028,6.574,7.453,8.026,8.521,9.822,6.255,11,1.236e+05,3.343e+04,8.086e+04,1.088e+05,1.386e+05,3.135e+05,13041,362702,0.3538,0.09003,0.2395,0.3105,0.3962,0.8393,0.03771,1.261,0.3531,0.2677,0.3247,0.3465,0.3881,0.4448,0.2181,0.4906,1.251e-07,9.803e-08,1.111e-07,1.248e-07,1.333e-07,1.564e-07,7.934e-08,1.772e-07,43.95,20.74,33.15,41.15,49.66,79.28,12.68,134.1,0.008997,0.00227,0.005726,0.00791,0.0102,0.02014,0.0005919,0.0403,0.01178,0.002592,0.007465,0.009988,0.01304,0.03012,0.0009681,0.04844,0.4084,0.1043,0.2848,0.3434,0.4621,0.9661,0.03875,1.535,2.842,0.7029,1.958,2.442,3.156,6.169,0.2706,12.29
