format,quality,ssimulacra2_mean,ssimulacra2_p05,ssimulacra2_p25,ssimulacra2_p50,ssimulacra2_p75,ssimulacra2_p95,ssimulacra2_min,ssimulacra2_max,psnr_mean,psnr_p05,psnr_p25,psnr_p50,psnr_p75,psnr_p95,psnr_min,psnr_max,ssim_mean,ssim_p05,ssim_p25,ssim_p50,ssim_p75,ssim_p95,ssim_min,ssim_max,butteraugli_mean,butteraugli_p05,butteraugli_p25,butteraugli_p50,butteraugli_p75,butteraugli_p95,butteraugli_min,butteraugli_max,file_size_mean,file_size_p05,file_size_p25,file_size_p50,file_size_p75,file_size_p95,file_size_min,file_size_max,bits_per_pixel_mean,bits_per_pixel_p05,bits_per_pixel_p25,bits_per_pixel_p50,bits_per_pixel_p75,bits_per_pixel_p95,bits_per_pixel_min,bits_per_pixel_max,encoding_time_mean,encoding_time_p05,encoding_time_p25,encoding_time_p50,encoding_time_p75,encoding_time_p95,encoding_time_min,encoding_time_max,encoding_time_per_pixel_mean,encoding_time_per_pixel_p05,encoding_time_per_pixel_p25,encoding_time_per_pixel_p50,encoding_time_per_pixel_p75,encoding_time_per_pixel_p95,encoding_time_per_pixel_min,encoding_time_per_pixel_max,compression_ratio_mean,compression_ratio_p05,compression_ratio_p25,compression_ratio_p50,compression_ratio_p75,compression_ratio_p95,compression_ratio_min,compression_ratio_max,bits_per_ssimulacra2_per_pixel_mean,bits_per_ssimulacra2_per_pixel_p05,bits_per_ssimulacra2_per_pixel_p25,bits_per_ssimulacra2_per_pixel_p50,bits_per_ssimulacra2_per_pixel_p75,bits_per_ssimulacra2_per_pixel_p95,bits_per_ssimulacra2_per_pixel_min,bits_per_ssimulacra2_per_pixel_max,bits_per_psnr_per_pixel_mean,bits_per_psnr_per_pixel_p05,bits_per_psnr_per_pixel_p25,bits_per_psnr_per_pixel_p50,bits_per_psnr_per_pixel_p75,bits_per_psnr_per_pixel_p95,bits_per_psnr_per_pixel_min,bits_per_psnr_per_pixel_max,bits_per_ssim_per_pixel_mean,bits_per_ssim_per_pixel_p05,bits_per_ssim_per_pixel_p25,bits_per_ssim_per_pixel_p50,bits_per_ssim_per_pixel_p75,bits_per_ssim_per_pixel_p95,bits_per_ssim_per_pixel_min,bits_per_ssim_per_pixel_max,bits_per_butteraugli_per_pixel_mean,bits_per_butteraugli_per_pixel_p05,bits_per_butteraugli_per_pixel_p25,bits_per_butteraugli_per_pixel_p50,bits_per_butteraugli_per_pixel_p75,bits_per_butteraugli_per_pixel_p95,bits_per_butteraugli_per_pixel_min,bits_per_butteraugli_per_pixel_max
avif,35,50.51,38.68,45.66,51.12,55.13,61.9,24.9,68.33,32.57,29.31,31.19,32.32,33.65,36.27,27.74,40.3,0.8997,0.8191,0.8875,0.9073,0.9217,0.9467,0.6239,0.9781,6.235,5.045,5.672,6.136,6.617,7.708,4.858,9.511,1.247e+05,3.058e+04,7.937e+04,1.063e+05,1.489e+05,3.065e+05,9338,414808,0.3539,0.08842,0.2167,0.3027,0.4243,0.8023,0.02701,1.325,23.08,10.29,16.75,22.15,27.84,39.64,4.278,46.79,8.153e-06,3.721e-06,6.036e-06,7.899e-06,1.007e-05,1.389e-05,1.546e-06,1.851e-05,49.36,20.24,31.84,40.86,55.35,103.2,14.37,236.5,0.007121,0.001639,0.00405,0.006303,0.008434,0.01687,0.0003952,0.02984,0.01131,0.002456,0.006425,0.009469,0.01357,0.02795,0.0006702,0.04774,0.3946,0.09277,0.2412,0.3416,0.4813,0.9263,0.02764,1.53,2.083,0.619,1.483,1.822,2.582,4.165,0.1985,6.563
avif,40,57.44,46.47,53.95,57.97,61.26,67.35,34.26,71.73,33.58,30.56,32.28,33.4,34.56,37.29,28.96,40.96,0.9151,0.8364,0.9057,0.9233,0.9355,0.9571,0.7001,0.982,5.153,4.269,4.759,5.135,5.574,6.132,3.964,6.714,1.548e+05,3.782e+04,1.014e+05,1.357e+05,1.864e+05,3.816e+05,11377,493990,0.4395,0.1101,0.264,0.3802,0.5377,1.013,0.0329,1.624,26.13,11.11,19.67,25.4,31.36,44.59,4.74,51.81,9.236e-06,4.015e-06,7.136e-06,8.947e-06,1.144e-05,1.543e-05,1.713e-06,2.14e-05,39.65,16.12,25.69,33.01,42.36,83.88,11.72,197.3,0.007696,0.001822,0.004532,0.006704,0.009178,0.01773,0.0004587,0.03097,0.01357,0.002955,0.007715,0.01146,0.01668,0.03389,0.0008033,0.05607,0.4809,0.1143,0.2929,0.4243,0.5989,1.135,0.03362,1.821,2.16,0.6359,1.467,1.88,2.65,4.555,0.2096,7.442
avif,45,63.43,53.26,60.78,63.96,66.82,71.62,44.35,74.87,34.62,31.84,33.39,34.51,35.45,38.41,30.2,41.63,0.9285,0.8564,0.9189,0.9369,0.9476,0.9661,0.7847,0.9854,4.399,3.635,3.99,4.347,4.789,5.294,3.401,6.248,1.908e+05,4.569e+04,1.26e+05,1.737e+05,2.336e+05,4.644e+05,14148,582881,0.5417,0.1365,0.325,0.4704,0.6756,1.255,0.04092,1.963,29.21,12.95,22.08,27.97,36.93,47.81,5.391,57.8,1.032e-05,4.664e-06,7.982e-06,9.823e-06,1.286e-05,1.674e-05,1.949e-06,2.247e-05,32.02,13.24,20.67,26.12,34.86,69.4,9.696,162.6,0.008542,0.002056,0.005176,0.00745,0.01015,0.01933,0.0005465,0.03291,0.01616,0.003525,0.009115,0.01355,0.02011,0.04037,0.0009836,0.065,0.5832,0.1398,0.3508,0.519,0.7196,1.374,0.04174,2.147,2.261,0.6642,1.504,2.085,2.776,4.669,0.2251,7.559
avif,50,68.32,59.24,66.04,69.06,71.13,75.38,53.1,77.54,35.62,33.05,34.42,35.55,36.35,39.46,31.4,42.36,0.9394,0.8755,0.9312,0.9479,0.9547,0.9731,0.787,0.9882,3.805,3.175,3.516,3.713,3.987,4.771,2.958,6.21,2.312e+05,5.442e+04,1.525e+05,2.102e+05,2.82e+05,5.523e+05,17522,676936,0.6563,0.1648,0.3947,0.5719,0.8157,1.521,0.05067,2.331,32.29,15.4,23.97,31.05,40.8,52.22,6.402,61.41,1.14e-05,5.284e-06,9.133e-06,1.086e-05,1.421e-05,1.81e-05,2.314e-06,2.321e-05,26.2,11.16,16.9,21.29,29.19,55.65,8.165,132.5,0.009573,0.002349,0.005945,0.008343,0.0115,0.02126,0.0006535,0.03545,0.01896,0.004137,0.01086,0.01601,0.02329,0.04662,0.001201,0.07423,0.6974,0.1681,0.4255,0.6268,0.8541,1.635,0.05161,2.5,2.407,0.6289,1.561,2.161,3.067,5.362,0.1973,7.656
avif,55,73.77,64.54,72.26,74.61,76.29,79.71,58.98,80.77,36.97,34.49,35.78,36.96,37.59,40.42,33.01,43.34,0.9516,0.9002,0.9441,0.9596,0.9642,0.9784,0.8154,0.991,3.146,2.574,2.768,3.084,3.369,3.896,2.436,5.619,2.957e+05,7.37e+04,1.925e+05,2.675e+05,3.598e+05,6.817e+05,23727,831512,0.8388,0.212,0.5204,0.7427,1.017,1.911,0.06862,2.891,36.53,18.14,26.89,35.36,47.43,56.49,7.368,68.58,1.289e-05,6.303e-06,1.041e-05,1.253e-05,1.582e-05,1.976e-05,2.663e-06,2.459e-05,19.69,9.049,13.29,16.26,21.59,43.17,6.583,58.32,0.0113,0.003107,0.007219,0.00996,0.01362,0.0242,0.000851,0.03983,0.02324,0.005386,0.01386,0.02003,0.02803,0.05409,0.001597,0.08758,0.8793,0.2268,0.5483,0.7904,1.067,1.968,0.06975,3.041,2.51,0.7546,1.695,2.306,3.19,4.839,0.227,7.925
avif,60,77.33,69.76,76.42,78.04,79.51,82.3,64.96,83.46,38.02,35.74,36.98,38.02,38.62,41.12,34.26,44.05,0.9598,0.9168,0.9533,0.9661,0.9709,0.9808,0.8638,0.9927,2.654,2.186,2.424,2.628,2.809,3.111,1.952,4.688,3.548e+05,9.187e+04,2.337e+05,3.221e+05,4.367e+05,7.848e+05,30726,969997,1.006,0.2657,0.6402,0.9164,1.206,2.198,0.08886,3.372,40.3,20.48,29.79,40.48,50.09,60.55,8.318,74.52,1.42e-05,7.402e-06,1.177e-05,1.429e-05,1.734e-05,2.132e-05,3.007e-06,2.58e-05,15.96,7.809,11.04,13.52,17.63,31.21,5.643,49.24,0.01292,0.003582,0.008454,0.01183,0.01539,0.02676,0.001079,0.04384,0.02701,0.00661,0.01664,0.02399,0.03215,0.06028,0.002041,0.09843,1.045,0.2838,0.6696,0.9565,1.238,2.25,0.09018,3.508,2.555,0.7359,1.779,2.353,3.225,4.722,0.2748,7.855
avif,65,79.97,73.1,78.86,80.5,82.06,84.27,69.58,85.39,38.93,36.86,37.99,38.98,39.36,41.72,35.34,44.6,0.9659,0.9272,0.9602,0.9713,0.9759,0.9835,0.8972,0.9938,2.374,1.946,2.128,2.332,2.541,2.902,1.808,4.011,4.127e+05,1.11e+05,2.777e+05,3.759e+05,5.075e+05,8.805e+05,39844,1099174,1.169,0.3182,0.7661,1.086,1.403,2.468,0.1152,3.821,42.63,22.18,32.15,42.61,51.76,63.91,9.083,76.73,1.501e-05,8.017e-06,1.233e-05,1.486e-05,1.83e-05,2.224e-05,3.284e-06,2.613e-05,13.45,6.922,9.548,11.57,15.2,26.13,4.98,42.12,0.01452,0.004107,0.009853,0.01336,0.01756,0.02926,0.001367,0.0478,0.03059,0.007711,0.01933,0.02771,0.03717,0.06604,0.002612,0.1081,1.208,0.3348,0.7874,1.124,1.462,2.517,0.1168,3.945,2.662,0.8367,1.878,2.467,3.268,4.937,0.2966,8.613
avif,70,81.97,74.98,80.67,82.43,83.95,85.71,73.32,86.84,39.71,37.76,38.76,39.73,40.24,42.3,36.25,45.07,0.9704,0.9349,0.9655,0.9748,0.9796,0.9855,0.9206,0.9946,2.184,1.799,1.96,2.164,2.373,2.591,1.676,3.311,4.68e+05,1.297e+05,3.228e+05,4.247e+05,5.763e+05,9.683e+05,50475,1217833,1.325,0.3709,0.8926,1.228,1.617,2.724,0.146,4.234,43.08,23.88,33.97,42.28,50.53,61.95,10.08,73.56,1.516e-05,8.302e-06,1.263e-05,1.507e-05,1.751e-05,2.225e-05,3.645e-06,2.491e-05,11.65,6.247,8.571,10.23,13.14,22.46,4.495,37.06,0.01606,0.004636,0.01103,0.01488,0.01968,0.03164,0.001701,0.05146,0.03393,0.008796,0.0222,0.03098,0.04203,0.07129,0.003267,0.1168,1.363,0.3857,0.9155,1.265,1.675,2.77,0.1477,4.348,2.787,0.8989,2.056,2.547,3.365,5.073,0.3354,8.259
avif,75,83.91,78.1,82.71,84.22,85.77,87.19,76,88.16,40.58,38.79,39.78,40.53,41.08,42.93,37.3,45.57,0.9748,0.9439,0.9709,0.9785,0.9826,0.9872,0.9304,0.9952,1.956,1.599,1.756,1.91,2.145,2.435,1.501,2.933,5.354e+05,1.611e+05,3.708e+05,4.841e+05,6.589e+05,1.073e+06,66145,1359670,1.515,0.4474,1.044,1.4,1.884,3.027,0.1913,4.727,45.51,28.33,35.89,44.67,51.74,64.11,11.31,76.77,1.601e-05,9.362e-06,1.331e-05,1.608e-05,1.858e-05,2.307e-05,4.088e-06,2.538e-05,9.986,5.616,7.469,8.905,11.22,18.3,4.026,31.9,0.01795,0.005441,0.01245,0.01661,0.02214,0.03485,0.002194,0.05593,0.0379,0.01044,0.02537,0.03422,0.04745,0.07837,0.004212,0.1267,1.551,0.4624,1.067,1.431,1.931,3.07,0.1932,4.831,2.851,0.9572,2.098,2.718,3.498,4.975,0.397,8.153
avif,80,85.95,81.42,84.8,86.14,87.53,88.79,78.87,89.58,41.66,39.97,40.97,41.54,42.17,43.71,38.58,46.73,0.9794,0.9554,0.9764,0.9823,0.9856,0.9895,0.9427,0.9959,1.694,1.332,1.534,1.682,1.851,2.064,1.286,2.529,6.286e+05,2.062e+05,4.405e+05,5.62e+05,7.664e+05,1.22e+06,84674,1544568,1.777,0.5688,1.268,1.614,2.204,3.488,0.2449,5.37,48.74,30.64,39.5,48.34,55.4,68.56,11.88,77.86,1.715e-05,1.051e-05,1.508e-05,1.728e-05,1.995e-05,2.358e-05,4.294e-06,2.618e-05,8.297,4.945,6.355,7.613,9.345,13.6,3.544,26.5,0.02057,0.006623,0.01471,0.01891,0.02515,0.03919,0.002941,0.06199,0.04324,0.01292,0.03014,0.03859,0.05402,0.08636,0.00531,0.1392,1.812,0.5809,1.295,1.645,2.233,3.529,0.2485,5.462,2.902,1.072,2.201,2.753,3.37,4.682,0.467,9.655
