quality,crop,ssimulacra2_mean,ssimulacra2_p05,ssimulacra2_p25,ssimulacra2_p50,ssimulacra2_p75,ssimulacra2_p95,ssimulacra2_min,ssimulacra2_max,psnr_mean,psnr_p05,psnr_p25,psnr_p50,psnr_p75,psnr_p95,psnr_min,psnr_max,ssim_mean,ssim_p05,ssim_p25,ssim_p50,ssim_p75,ssim_p95,ssim_min,ssim_max,butteraugli_mean,butteraugli_p05,butteraugli_p25,butteraugli_p50,butteraugli_p75,butteraugli_p95,butteraugli_min,butteraugli_max,file_size_mean,file_size_p05,file_size_p25,file_size_p50,file_size_p75,file_size_p95,file_size_min,file_size_max,bits_per_pixel_mean,bits_per_pixel_p05,bits_per_pixel_p25,bits_per_pixel_p50,bits_per_pixel_p75,bits_per_pixel_p95,bits_per_pixel_min,bits_per_pixel_max,encoding_time_mean,encoding_time_p05,encoding_time_p25,encoding_time_p50,encoding_time_p75,encoding_time_p95,encoding_time_min,encoding_time_max,encoding_time_per_pixel_mean,encoding_time_per_pixel_p05,encoding_time_per_pixel_p25,encoding_time_per_pixel_p50,encoding_time_per_pixel_p75,encoding_time_per_pixel_p95,encoding_time_per_pixel_min,encoding_time_per_pixel_max,compression_ratio_mean,compression_ratio_p05,compression_ratio_p25,compression_ratio_p50,compression_ratio_p75,compression_ratio_p95,compression_ratio_min,compression_ratio_max,bits_per_ssimulacra2_per_pixel_mean,bits_per_ssimulacra2_per_pixel_p05,bits_per_ssimulacra2_per_pixel_p25,bits_per_ssimulacra2_per_pixel_p50,bits_per_ssimulacra2_per_pixel_p75,bits_per_ssimulacra2_per_pixel_p95,bits_per_ssimulacra2_per_pixel_min,bits_per_ssimulacra2_per_pixel_max,bits_per_psnr_per_pixel_mean,bits_per_psnr_per_pixel_p05,bits_per_psnr_per_pixel_p25,bits_per_psnr_per_pixel_p50,bits_per_psnr_per_pixel_p75,bits_per_psnr_per_pixel_p95,bits_per_psnr_per_pixel_min,bits_per_psnr_per_pixel_max,bits_per_ssim_per_pixel_mean,bits_per_ssim_per_pixel_p05,bits_per_ssim_per_pixel_p25,bits_per_ssim_per_pixel_p50,bits_per_ssim_per_pixel_p75,bits_per_ssim_per_pixel_p95,bits_per_ssim_per_pixel_min,bits_per_ssim_per_pixel_max,bits_per_butteraugli_per_pixel_mean,bits_per_butteraugli_per_pixel_p05,bits_per_butteraugli_per_pixel_p25,bits_per_butteraugli_per_pixel_p50,bits_per_butteraugli_per_pixel_p75,bits_per_butteraugli_per_pixel_p95,bits_per_butteraugli_per_pixel_min,bits_per_butteraugli_per_pixel_max
30,400,51.72,38.61,46.77,52.02,56.08,67.76,14.86,79.85,28.69,23.19,25.52,28.02,30.9,38.4,19.57,44.03,0.8362,0.7118,0.806,0.8451,0.874,0.9749,0.4711,0.9957,4.777,3.563,3.939,4.21,5.125,7.587,3.384,9.527,1.153e+04,3825,7892,1.191e+04,1.491e+04,1.958e+04,2364,23851,0.8488,0.2827,0.5776,0.8145,1.126,1.429,0.1699,1.793,0.007651,0.006015,0.007054,0.007606,0.008195,0.00955,0.003988,0.01172,6.998e-08,5.47e-08,6.672e-08,7.061e-08,7.428e-08,8.16e-08,3.748e-08,1.061e-07,19.46,13.47,15.44,16.99,21.35,31.79,9.721,49.53,0.01753,0.004249,0.0119,0.01617,0.02359,0.03303,0.002128,0.08092,0.03204,0.006988,0.01874,0.03001,0.04246,0.06171,0.003859,0.08768,1.027,0.2875,0.716,0.9692,1.314,1.777,0.1706,2.023,4.097,1.018,2.593,4.298,5.363,7.341,0.6457,11.1
30,800,51.85,38.81,47.14,52.71,56.51,67.71,15.14,80.73,28.69,23.27,25.5,27.97,30.87,38.42,19.62,44.06,0.8357,0.7117,0.8058,0.8454,0.8729,0.9764,0.4709,0.9952,4.685,3.499,3.829,4.192,4.965,7.372,3.354,9.128,4.045e+04,1.72e+04,2.944e+04,3.819e+04,5.083e+04,6.516e+04,7555,89499,0.743,0.3371,0.5534,0.7136,0.9238,1.225,0.142,1.573,0.02333,0.01704,0.02182,0.02321,0.02511,0.02851,0.01396,0.04208,5.326e-08,3.969e-08,5.126e-08,5.434e-08,5.731e-08,6.074e-08,3.319e-08,8.738e-08,20.6,14.14,16.83,19.04,23.16,31.52,11.31,52.5,0.01524,0.00534,0.01036,0.01405,0.01948,0.02656,0.002045,0.06815,0.02772,0.008949,0.01711,0.02594,0.03543,0.05549,0.003556,0.07066,0.8996,0.3799,0.664,0.8887,1.129,1.559,0.1436,1.791,3.506,1.184,2.316,3.237,4.485,6.632,0.598,8.543
30,1200,51.75,37.92,47.15,52.29,56.21,67.74,18.28,80.73,28.69,23.2,25.49,27.93,30.94,38.4,19.6,44.06,0.8356,0.7117,0.8056,0.844,0.8734,0.9739,0.4669,0.9952,4.828,3.648,3.833,4.277,5.201,7.958,3.457,9.678,8.596e+04,4.072e+04,6.249e+04,8.609e+04,1.038e+05,1.381e+05,18571,187560,0.7005,0.3401,0.5221,0.683,0.8162,1.154,0.1551,1.383,0.04954,0.03729,0.04632,0.05037,0.05251,0.05986,0.0295,0.06822,5.033e-08,3.994e-08,4.779e-08,5.204e-08,5.407e-08,5.66e-08,3.08e-08,6.112e-08,20.96,15.1,17.49,19.69,22.89,30.18,12.08,51.51,0.01436,0.005639,0.01059,0.01314,0.0175,0.02496,0.002234,0.06269,0.02587,0.009543,0.01738,0.02418,0.03027,0.05442,0.003884,0.05853,0.8499,0.376,0.6401,0.8205,0.9975,1.468,0.1569,1.889,3.397,1.295,2.318,3.054,4.117,6.235,0.6533,9.5
30,1600,51.59,38.64,46.76,52,56.75,67.56,16.15,80.73,28.69,23.2,25.51,27.97,30.94,38.46,19.61,44.06,0.8357,0.7089,0.8051,0.8452,0.8743,0.9762,0.4669,0.9952,4.801,3.543,3.921,4.204,5.152,7.484,3.41,11.3,1.454e+05,6.714e+04,1.086e+05,1.478e+05,1.689e+05,2.345e+05,43518,320718,0.6658,0.3167,0.5093,0.6564,0.7712,1.102,0.2045,1.338,0.08619,0.06312,0.07847,0.0868,0.09384,0.106,0.0597,0.115,4.921e-08,3.708e-08,4.703e-08,5.02e-08,5.257e-08,5.533e-08,3.507e-08,6.391e-08,21.47,16.01,17.84,19.83,23.08,31.71,12.25,52.39,0.01381,0.005829,0.009702,0.01265,0.01657,0.02412,0.002945,0.06976,0.02448,0.009123,0.01657,0.0225,0.02915,0.04749,0.00512,0.05744,0.8086,0.3725,0.6093,0.7662,0.9637,1.373,0.2068,1.852,3.195,1.178,2.235,2.986,3.914,5.623,0.829,8.312
30,2048,51.49,38.62,46.34,52.02,55.97,67.72,11.3,80.73,28.67,23.17,25.46,27.95,30.89,38.46,19.58,44.06,0.8352,0.7073,0.8049,0.8443,0.8729,0.9739,0.4669,0.9952,4.816,3.574,3.93,4.249,4.962,8.374,3.437,10.99,2.197e+05,9.453e+04,1.69e+05,2.186e+05,2.554e+05,3.689e+05,64915,460862,0.619,0.2886,0.4855,0.5964,0.7239,1.038,0.1877,1.317,0.138,0.1042,0.1258,0.1397,0.1476,0.1724,0.08605,0.2055,4.841e-08,3.878e-08,4.598e-08,4.965e-08,5.141e-08,5.384e-08,3.111e-08,6.502e-08,22.29,16,19.09,20.25,24.14,35.11,12.88,53.78,0.01323,0.005003,0.00895,0.01186,0.01459,0.02302,0.003137,0.104,0.02275,0.009071,0.01585,0.02091,0.0271,0.0452,0.005695,0.06004,0.7532,0.339,0.5734,0.7071,0.8812,1.323,0.2282,1.935,2.997,1.092,1.993,2.671,3.489,5.937,0.7456,9.885
40,400,58.78,46.77,54.13,58.67,62.54,71.62,22.87,88.48,29.66,24.09,26.37,28.66,31.77,40.11,20.11,46.43,0.8587,0.7495,0.8327,0.869,0.8946,0.984,0.5242,0.9983,4.163,2.977,3.36,3.719,4.555,6.832,2.401,10.62,1.37e+04,4115,9706,1.401e+04,1.766e+04,2.318e+04,2382,27536,1.009,0.3041,0.6863,0.9681,1.334,1.717,0.1697,2.072,0.007679,0.00589,0.007327,0.007671,0.008238,0.009363,0.003929,0.0103,7.028e-08,5.445e-08,6.756e-08,7.1e-08,7.559e-08,8.006e-08,3.77e-08,8.785e-08,16.4,11.39,13.19,14.55,18.07,27.86,8.818,37.1,0.01808,0.003785,0.01257,0.01659,0.02415,0.03366,0.001918,0.06428,0.03692,0.006636,0.02146,0.03414,0.04954,0.07314,0.003769,0.09752,1.187,0.3078,0.8435,1.117,1.523,2.049,0.17,2.308,4.273,0.7427,2.677,4.449,5.67,7.495,0.4602,11.05
40,800,58.85,46.47,54.23,58.8,62.91,73.02,24.01,88.73,29.65,24.15,26.3,28.67,31.8,40.14,20.17,46.43,0.8583,0.7476,0.8327,0.8671,0.8941,0.984,0.5243,0.9983,4.158,2.984,3.458,3.705,4.592,6.758,2.401,8.674,4.817e+04,1.99e+04,3.503e+04,4.627e+04,6.015e+04,7.803e+04,7590,106246,0.8849,0.3899,0.6585,0.8466,1.1,1.467,0.1427,1.884,0.02368,0.01769,0.02204,0.0239,0.02559,0.02891,0.01192,0.03281,5.411e-08,4.027e-08,5.087e-08,5.587e-08,5.811e-08,6.295e-08,2.801e-08,6.56e-08,17.29,11.9,14.28,16.07,19.63,26.9,9.784,42.81,0.01575,0.00575,0.0108,0.01478,0.0201,0.02691,0.001831,0.05313,0.03201,0.0099,0.02,0.03006,0.04128,0.0636,0.003348,0.08127,1.042,0.4352,0.7776,1.017,1.314,1.78,0.1443,2.087,3.727,1.304,2.429,3.455,4.86,7.134,0.3537,9.742
40,1200,58.76,46.93,54.1,58.55,62.7,72.22,27.28,88.73,29.65,24.11,26.31,28.66,31.81,40.1,20.13,46.43,0.8582,0.7495,0.8323,0.8675,0.8955,0.9833,0.5232,0.9983,4.163,2.975,3.357,3.777,4.54,6.622,2.401,10.09,1.024e+05,4.936e+04,7.703e+04,1.024e+05,1.236e+05,1.636e+05,19399,222230,0.8344,0.4042,0.6435,0.825,0.9668,1.382,0.1621,1.639,0.05023,0.03716,0.04709,0.05091,0.05392,0.06344,0.02419,0.06866,5.098e-08,4.007e-08,4.776e-08,5.279e-08,5.443e-08,5.841e-08,2.526e-08,5.962e-08,17.6,12.62,14.8,16.45,19.61,25.45,10.43,42.49,0.01484,0.006046,0.01069,0.0138,0.01818,0.02616,0.00208,0.05137,0.02987,0.01125,0.02006,0.0279,0.03486,0.06239,0.003804,0.06963,0.9837,0.4259,0.7453,0.968,1.16,1.69,0.1639,2.16,3.488,1.229,2.386,3.186,4.318,6.121,0.4018,9.627
40,1600,58.69,46.64,54.19,58.93,62.73,71.99,25.11,88.73,29.66,24.12,26.35,28.65,31.8,40.12,20.13,46.43,0.8584,0.7481,0.834,0.8683,0.8957,0.9833,0.5232,0.9983,4.199,2.975,3.379,3.779,4.706,6.722,2.401,9.727,1.73e+05,8.072e+04,1.289e+05,1.752e+05,2.022e+05,2.764e+05,48061,379634,0.7921,0.3819,0.606,0.785,0.9153,1.294,0.2259,1.588,0.08705,0.06624,0.08111,0.08782,0.09321,0.1061,0.05792,0.1289,4.97e-08,3.891e-08,4.728e-08,5.101e-08,5.323e-08,5.52e-08,3.378e-08,5.649e-08,18.06,13.46,15.06,16.88,19.44,25.87,10.61,43.24,0.01415,0.006169,0.009971,0.01317,0.01682,0.02499,0.002899,0.05462,0.02822,0.01059,0.01842,0.02631,0.03414,0.05554,0.005301,0.06813,0.9343,0.4406,0.7033,0.8955,1.113,1.591,0.2284,2.117,3.333,1.257,2.304,3.077,4.373,5.746,0.5599,9.986
40,2048,58.55,46.78,53.83,58.4,62.58,71.97,21.89,88.73,29.65,24.08,26.33,28.65,31.78,40.11,20.13,46.43,0.858,0.7457,0.8327,0.8682,0.8951,0.9832,0.5232,0.9983,4.153,3.024,3.377,3.802,4.415,6.51,2.401,9.205,2.609e+05,1.062e+05,2.024e+05,2.628e+05,3.072e+05,4.401e+05,70628,544697,0.7352,0.3418,0.5812,0.7114,0.8566,1.232,0.2043,1.561,0.1387,0.1068,0.1283,0.1406,0.1496,0.1687,0.08247,0.2031,4.873e-08,3.983e-08,4.66e-08,4.958e-08,5.202e-08,5.476e-08,2.981e-08,5.836e-08,18.82,13.41,16,17.13,20.1,30.22,11.15,44.3,0.01328,0.00533,0.009212,0.01262,0.01525,0.02384,0.003127,0.06506,0.02619,0.01001,0.0182,0.02434,0.03144,0.05161,0.006032,0.07075,0.8685,0.3887,0.6631,0.8078,1.016,1.536,0.2425,2.192,3.069,1.175,2.143,2.783,3.714,5.466,0.6371,8.408
