quality,crop,ssimulacra2_mean,ssimulacra2_p05,ssimulacra2_p25,ssimulacra2_p50,ssimulacra2_p75,ssimulacra2_p95,ssimulacra2_min,ssimulacra2_max,psnr_mean,psnr_p05,psnr_p25,psnr_p50,psnr_p75,psnr_p95,psnr_min,psnr_max,ssim_mean,ssim_p05,ssim_p25,ssim_p50,ssim_p75,ssim_p95,ssim_min,ssim_max,butteraugli_mean,butteraugli_p05,butteraugli_p25,butteraugli_p50,butteraugli_p75,butteraugli_p95,butteraugli_min,butteraugli_max,file_size_mean,file_size_p05,file_size_p25,file_size_p50,file_size_p75,file_size_p95,file_size_min,file_size_max,bits_per_pixel_mean,bits_per_pixel_p05,bits_per_pixel_p25,bits_per_pixel_p50,bits_per_pixel_p75,bits_per_pixel_p95,bits_per_pixel_min,bits_per_pixel_max,encoding_time_mean,encoding_time_p05,encoding_time_p25,encoding_time_p50,encoding_time_p75,encoding_time_p95,encoding_time_min,encoding_time_max,encoding_time_per_pixel_mean,encoding_time_per_pixel_p05,encoding_time_per_pixel_p25,encoding_time_per_pixel_p50,encoding_time_per_pixel_p75,encoding_time_per_pixel_p95,encoding_time_per_pixel_min,encoding_time_per_pixel_max,compression_ratio_mean,compression_ratio_p05,compression_ratio_p25,compression_ratio_p50,compression_ratio_p75,compression_ratio_p95,compression_ratio_min,compression_ratio_max,bits_per_ssimulacra2_per_pixel_mean,bits_per_ssimulacra2_per_pixel_p05,bits_per_ssimulacra2_per_pixel_p25,bits_per_ssimulacra2_per_pixel_p50,bits_per_ssimulacra2_per_pixel_p75,bits_per_ssimulacra2_per_pixel_p95,bits_per_ssimulacra2_per_pixel_min,bits_per_ssimulacra2_per_pixel_max,bits_per_psnr_per_pixel_mean,bits_per_psnr_per_pixel_p05,bits_per_psnr_per_pixel_p25,bits_per_psnr_per_pixel_p50,bits_per_psnr_per_pixel_p75,bits_per_psnr_per_pixel_p95,bits_per_psnr_per_pixel_min,bits_per_psnr_per_pixel_max,bits_per_ssim_per_pixel_mean,bits_per_ssim_per_pixel_p05,bits_per_ssim_per_pixel_p25,bits_per_ssim_per_pixel_p50,bits_per_ssim_per_pixel_p75,bits_per_ssim_per_pixel_p95,bits_per_ssim_per_pixel_min,bits_per_ssim_per_pixel_max,bits_per_butteraugli_per_pixel_mean,bits_per_butteraugli_per_pixel_p05,bits_per_butteraugli_per_pixel_p25,bits_per_butteraugli_per_pixel_p50,bits_per_butteraugli_per_pixel_p75,bits_per_butteraugli_per_pixel_p95,bits_per_butteraugli_per_pixel_min,bits_per_butteraugli_per_pixel_max
40,400,43.83,26.72,36.58,45.45,49.96,59.44,21.77,61.29,26.11,20.4,25.02,26.17,27.26,31.67,18.41,33.48,0.7814,0.6256,0.7419,0.7843,0.8625,0.8931,0.5669,0.9006,5.116,4.405,4.943,5.124,5.269,5.836,4.17,6.075,7686,4835,6191,7436,9738,1.033e+04,4387,10362,0.5898,0.3386,0.4655,0.5928,0.6961,0.8557,0.2915,0.9293,0.3923,0.293,0.3251,0.4014,0.4398,0.4975,0.2829,0.5162,3.731e-06,2.614e-06,2.987e-06,4.174e-06,4.331e-06,4.436e-06,2.59e-06,4.482e-06,28.83,23.29,27.09,28.9,31.33,33.59,21.58,34.77,0.01597,0.006202,0.01144,0.01293,0.01492,0.03475,0.004756,0.04269,0.02429,0.01093,0.0171,0.02265,0.02784,0.04326,0.008707,0.05048,0.7925,0.4158,0.6191,0.7094,0.818,1.408,0.3315,1.639,3.103,1.512,2.303,3.142,3.544,4.985,1.216,5.646
40,800,43.46,26.72,36.93,44.88,49.34,58.49,21.45,60.04,26.13,20.45,25.05,26.21,27.26,31.63,18.47,33.45,0.7829,0.6313,0.7423,0.7845,0.8653,0.8925,0.5759,0.901,4.897,4.389,4.59,4.804,5.08,5.629,4.284,5.815,2.539e+04,1.635e+04,2.172e+04,2.697e+04,2.954e+04,3.213e+04,15618,32841,0.4857,0.2851,0.4441,0.5111,0.5459,0.6447,0.2594,0.6972,1.555,1.194,1.449,1.602,1.74,1.781,1.07,1.803,3.687e-06,2.669e-06,3.547e-06,3.959e-06,4.089e-06,4.153e-06,2.515e-06,4.186e-06,32.66,28.52,30.92,31.62,34.15,38.09,27.44,38.21,0.01303,0.005388,0.009199,0.01113,0.01348,0.02637,0.004321,0.0325,0.01979,0.009166,0.01634,0.0195,0.0218,0.03248,0.007756,0.03775,0.6452,0.3487,0.5617,0.6119,0.6654,1.048,0.2959,1.211,2.423,1.256,2.19,2.486,2.621,3.589,1.111,4.054
40,1200,44.25,28.21,36.59,46.14,50.37,59.02,25.07,60.34,26.15,20.53,25.02,26.26,27.29,31.6,18.63,33.43,0.7846,0.6316,0.744,0.787,0.8684,0.8939,0.5783,0.9017,4.994,4.213,4.79,5.028,5.299,5.648,4.007,5.81,5.086e+04,3.497e+04,4.5e+04,5.014e+04,5.429e+04,7.025e+04,34028,75936,0.4359,0.2705,0.379,0.4367,0.4428,0.6534,0.2509,0.7624,3.59,3.107,3.473,3.602,3.712,4.066,3.095,4.152,3.761e-06,3.634e-06,3.733e-06,3.762e-06,3.813e-06,3.864e-06,3.602e-06,3.884e-06,34.95,27.88,33.83,35.23,37.6,40.16,25.54,40.48,0.01143,0.004932,0.00743,0.009649,0.01167,0.02391,0.004159,0.03041,0.01793,0.008685,0.0148,0.01674,0.0172,0.03268,0.007506,0.04092,0.5859,0.3289,0.4685,0.5294,0.5575,1.058,0.2854,1.318,2.239,1.147,1.936,2.149,2.316,3.703,1.005,4.429
40,1600,43.85,27.85,37.16,45.72,49.23,58.18,22.93,59.75,26.09,20.5,24.92,26.08,27.19,31.76,18.56,33.73,0.7817,0.6317,0.7406,0.7841,0.8609,0.8916,0.577,0.8981,4.999,4.48,4.838,5.005,5.223,5.475,4.46,5.598,8.348e+04,6.155e+04,7.124e+04,8.182e+04,8.745e+04,1.159e+05,60506,130349,0.4042,0.2676,0.3348,0.3691,0.4158,0.6403,0.2511,0.7364,6.376,5.583,6.164,6.381,6.591,7.164,5.503,7.262,3.76e-06,3.65e-06,3.71e-06,3.776e-06,3.798e-06,3.859e-06,3.621e-06,3.887e-06,36.48,28.72,34.97,37.25,39.75,41.57,26.04,41.77,0.01094,0.004943,0.006598,0.008999,0.01003,0.02444,0.004202,0.03211,0.01669,0.008554,0.01294,0.01453,0.01599,0.03195,0.007444,0.03969,0.5466,0.3261,0.4091,0.4708,0.5092,1.027,0.2855,1.276,2.061,1.203,1.629,1.881,2.146,3.492,1.134,4.122
40,2048,43.38,26,38.73,45.05,48.75,57.66,21.01,59.2,26.09,20.58,24.92,26.11,27.37,31.48,18.65,33.26,0.7826,0.6339,0.7408,0.7899,0.8597,0.8879,0.5799,0.8958,5.2,4.611,4.714,5.127,5.648,5.91,4.59,5.941,1.226e+05,8.629e+04,1.024e+05,1.142e+05,1.288e+05,1.835e+05,79226,212515,0.3677,0.2321,0.2961,0.3094,0.3863,0.6273,0.2023,0.7388,10.3,9.036,9.924,10.23,10.86,11.48,8.947,11.49,3.737e-06,3.661e-06,3.672e-06,3.699e-06,3.782e-06,3.876e-06,3.658e-06,3.888e-06,38.85,28.58,35.79,40.17,42.84,46.5,26.01,47.12,0.01053,0.004234,0.006052,0.007879,0.00874,0.02619,0.003417,0.03516,0.01531,0.007525,0.01095,0.01245,0.01486,0.03133,0.006082,0.03961,0.5003,0.2737,0.3782,0.4026,0.4574,1.008,0.2316,1.274,1.953,1.099,1.419,1.727,2.015,3.543,0.9404,4.324
50,400,50.24,34.71,43.95,51.95,55.46,64.33,30.67,66.44,26.68,21.02,25.74,26.75,27.71,32.2,18.99,34.19,0.8078,0.6704,0.7711,0.8115,0.8792,0.9074,0.6223,0.9168,4.275,3.895,4.128,4.211,4.347,4.807,3.844,4.963,9084,5640,7345,8633,1.151e+04,1.247e+04,5051,12781,0.6987,0.3953,0.5523,0.6881,0.8073,1.051,0.3356,1.157,0.4113,0.2997,0.3883,0.4165,0.4689,0.4863,0.2775,0.4917,3.916e-06,2.687e-06,3.613e-06,4.14e-06,4.513e-06,4.628e-06,2.609e-06,4.632e-06,24.52,19.05,23.38,24.9,26.41,28.88,17.34,30.2,0.0156,0.006577,0.01191,0.01303,0.01521,0.03161,0.005052,0.03771,0.02819,0.0126,0.01995,0.02572,0.0314,0.05169,0.009816,0.06092,0.8998,0.4784,0.7119,0.801,0.9233,1.595,0.3772,1.859,3.057,1.546,2.303,2.92,3.443,5.085,1.29,5.74
50,800,50.08,34.45,43.78,51.03,56.63,64.07,30.33,66.14,26.7,20.99,25.73,26.81,27.8,32.13,18.92,34.03,0.8084,0.6667,0.7736,0.8122,0.8837,0.9072,0.616,0.9165,4.295,3.545,4.079,4.383,4.596,4.858,3.321,4.993,2.988e+04,1.889e+04,2.544e+04,3.171e+04,3.558e+04,3.757e+04,17825,37845,0.5724,0.3297,0.5252,0.5975,0.6363,0.7759,0.2961,0.8387,1.575,1.222,1.504,1.622,1.735,1.784,1.087,1.808,3.726e-06,2.925e-06,3.717e-06,3.813e-06,4.034e-06,4.133e-06,2.554e-06,4.165e-06,27.83,23.85,25.77,27.25,29.13,33.02,22.81,33.48,0.01269,0.005385,0.009595,0.0117,0.01355,0.02346,0.004477,0.02765,0.02284,0.01045,0.01894,0.02229,0.02475,0.03811,0.008701,0.04433,0.7321,0.3966,0.6405,0.696,0.7562,1.182,0.3327,1.361,2.527,1.183,2.216,2.566,2.925,3.785,0.9834,4.188
50,1200,50.46,35.94,43.94,51.96,56.06,63.78,33.31,65.45,26.71,21.13,25.71,26.84,27.76,32.06,19.17,33.91,0.811,0.6783,0.7736,0.8126,0.8847,0.9073,0.6298,0.9167,4.382,3.763,4.308,4.403,4.532,4.906,3.505,5.088,6.002e+04,4.053e+04,5.292e+04,5.949e+04,6.344e+04,8.394e+04,38871,91605,0.515,0.3138,0.4526,0.5122,0.5177,0.783,0.2867,0.9197,3.593,3.11,3.479,3.599,3.739,4.043,3.043,4.094,3.764e-06,3.666e-06,3.732e-06,3.777e-06,3.817e-06,3.828e-06,3.638e-06,3.832e-06,29.72,23.33,28.8,29.81,32.25,34.44,21.17,34.63,0.0113,0.005185,0.008024,0.01003,0.0115,0.02208,0.00438,0.02761,0.02073,0.00995,0.01718,0.01927,0.01971,0.03809,0.008454,0.04797,0.6627,0.3753,0.539,0.6007,0.6352,1.178,0.3221,1.46,2.32,1.194,2.021,2.258,2.303,3.861,1.005,4.68
50,1600,50.32,35.81,43.98,51.88,55.39,63.66,31.65,65.73,26.67,21.13,25.62,26.77,27.62,32.16,19.13,34.13,0.8087,0.6753,0.7718,0.8108,0.8809,0.9059,0.6283,0.9134,4.467,3.78,4.31,4.518,4.786,4.932,3.528,4.975,9.833e+04,7.082e+04,8.537e+04,9.581e+04,1.028e+05,1.379e+05,68961,155774,0.4765,0.3081,0.4012,0.4354,0.4841,0.762,0.2861,0.8801,6.385,5.638,6.124,6.362,6.661,7.16,5.632,7.242,3.766e-06,3.654e-06,3.724e-06,3.74e-06,3.778e-06,3.939e-06,3.635e-06,3.99e-06,31.06,24.2,29.85,31.3,34.64,35.42,21.79,35.52,0.0106,0.005095,0.00707,0.009228,0.01006,0.02178,0.004354,0.02781,0.01923,0.009735,0.01502,0.01682,0.01813,0.03696,0.008383,0.046,0.6161,0.3687,0.4714,0.5338,0.5827,1.136,0.3208,1.401,2.172,1.186,1.858,2.04,2.141,3.669,1.01,4.378
50,2048,49.91,33.9,46.84,50.26,54.44,63.96,29.06,66.02,26.73,21.09,25.7,26.69,27.97,32.24,19.02,34.18,0.8094,0.6703,0.7754,0.8167,0.8781,0.9061,0.6218,0.9147,4.485,3.702,4.028,4.454,4.89,5.333,3.527,5.425,1.446e+05,9.885e+04,1.221e+05,1.36e+05,1.501e+05,2.178e+05,89063,254115,0.4338,0.2662,0.3532,0.3688,0.4482,0.7463,0.2274,0.8834,10.32,9.079,9.919,10.3,10.74,11.57,8.894,11.58,3.746e-06,3.66e-06,3.693e-06,3.723e-06,3.801e-06,3.859e-06,3.646e-06,3.865e-06,33.09,24.11,30.86,33.44,36.74,40.2,21.75,40.35,0.0101,0.004403,0.006377,0.007972,0.008885,0.02321,0.003444,0.0304,0.01768,0.00846,0.01284,0.01435,0.01685,0.03659,0.006653,0.04644,0.5661,0.3084,0.4354,0.4603,0.5183,1.128,0.2555,1.421,2.02,0.9984,1.464,1.611,2.355,3.79,0.802,4.56
