quality,effort,ssimulacra2_mean,ssimulacra2_p05,ssimulacra2_p25,ssimulacra2_p50,ssimulacra2_p75,ssimulacra2_p95,ssimulacra2_min,ssimulacra2_max,psnr_mean,psnr_p05,psnr_p25,psnr_p50,psnr_p75,psnr_p95,psnr_min,psnr_max,ssim_mean,ssim_p05,ssim_p25,ssim_p50,ssim_p75,ssim_p95,ssim_min,ssim_max,butteraugli_mean,butteraugli_p05,butteraugli_p25,butteraugli_p50,butteraugli_p75,butteraugli_p95,butteraugli_min,butteraugli_max,file_size_mean,file_size_p05,file_size_p25,file_size_p50,file_size_p75,file_size_p95,file_size_min,file_size_max,bits_per_pixel_mean,bits_per_pixel_p05,bits_per_pixel_p25,bits_per_pixel_p50,bits_per_pixel_p75,bits_per_pixel_p95,bits_per_pixel_min,bits_per_pixel_max,encoding_time_mean,encoding_time_p05,encoding_time_p25,encoding_time_p50,encoding_time_p75,encoding_time_p95,encoding_time_min,encoding_time_max,encoding_time_per_pixel_mean,encoding_time_per_pixel_p05,encoding_time_per_pixel_p25,encoding_time_per_pixel_p50,encoding_time_per_pixel_p75,encoding_time_per_pixel_p95,encoding_time_per_pixel_min,encoding_time_per_pixel_max,compression_ratio_mean,compression_ratio_p05,compression_ratio_p25,compression_ratio_p50,compression_ratio_p75,compression_ratio_p95,compression_ratio_min,compression_ratio_max,bits_per_ssimulacra2_per_pixel_mean,bits_per_ssimulacra2_per_pixel_p05,bits_per_ssimulacra2_per_pixel_p25,bits_per_ssimulacra2_per_pixel_p50,bits_per_ssimulacra2_per_pixel_p75,bits_per_ssimulacra2_per_pixel_p95,bits_per_ssimulacra2_per_pixel_min,bits_per_ssimulacra2_per_pixel_max,bits_per_psnr_per_pixel_mean,bits_per_psnr_per_pixel_p05,bits_per_psnr_per_pixel_p25,bits_per_psnr_per_pixel_p50,bits_per_psnr_per_pixel_p75,bits_per_psnr_per_pixel_p95,bits_per_psnr_per_pixel_min,bits_per_psnr_per_pixel_max,bits_per_ssim_per_pixel_mean,bits_per_ssim_per_pixel_p05,bits_per_ssim_per_pixel_p25,bits_per_ssim_per_pixel_p50,bits_per_ssim_per_pixel_p75,bits_per_ssim_per_pixel_p95,bits_per_ssim_per_pixel_min,bits_per_ssim_per_pixel_max,bits_per_butteraugli_per_pixel_mean,bits_per_butteraugli_per_pixel_p05,bits_per_butteraugli_per_pixel_p25,bits_per_butteraugli_per_pixel_p50,bits_per_butteraugli_per_pixel_p75,bits_per_butteraugli_per_pixel_p95,bits_per_butteraugli_per_pixel_min,bits_per_butteraugli_per_pixel_max
40,1,58.33,56.3,56.91,57.33,58.75,61.76,56.14,62.52,31.68,30.06,30.63,31.42,32.46,33.66,29.92,33.96,0.8703,0.798,0.8476,0.89,0.9127,0.915,0.7856,0.9156,4.693,4.525,4.645,4.741,4.789,4.794,4.495,4.795,1.528e+05,1.045e+05,1.193e+05,1.586e+05,1.921e+05,1.929e+05,100789,193071,0.4513,0.2731,0.3364,0.4605,0.5755,0.6166,0.2573,0.6269,0.1943,0.1818,0.1865,0.1949,0.2027,0.2059,0.1806,0.2067,7.053e-08,6.441e-08,6.504e-08,6.67e-08,7.219e-08,8.199e-08,6.425e-08,8.445e-08,28.87,22.72,23.93,28.65,33.59,35.32,22.41,35.75,0.00784,0.004445,0.005761,0.008038,0.01012,0.01096,0.004116,0.01117,0.01444,0.008204,0.01071,0.01461,0.01834,0.02043,0.007578,0.02096,0.5189,0.3091,0.4168,0.5358,0.6379,0.7052,0.2822,0.722,2.13,1.244,1.594,2.18,2.716,2.944,1.157,3.001
40,2,58.33,56.3,56.91,57.33,58.75,61.76,56.14,62.52,31.68,30.06,30.63,31.42,32.46,33.66,29.92,33.96,0.8703,0.798,0.8476,0.89,0.9127,0.915,0.7856,0.9156,4.693,4.525,4.645,4.741,4.789,4.794,4.495,4.795,1.528e+05,1.045e+05,1.193e+05,1.586e+05,1.921e+05,1.929e+05,100789,193071,0.4513,0.2731,0.3364,0.4605,0.5755,0.6166,0.2573,0.6269,0.2009,0.1801,0.1864,0.2025,0.2169,0.2195,0.1785,0.2201,7.292e-08,6.51e-08,6.738e-08,6.861e-08,7.415e-08,8.676e-08,6.453e-08,8.992e-08,28.87,22.72,23.93,28.65,33.59,35.32,22.41,35.75,0.00784,0.004445,0.005761,0.008038,0.01012,0.01096,0.004116,0.01117,0.01444,0.008204,0.01071,0.01461,0.01834,0.02043,0.007578,0.02096,0.5189,0.3091,0.4168,0.5358,0.6379,0.7052,0.2822,0.722,2.13,1.244,1.594,2.18,2.716,2.944,1.157,3.001
40,3,58.33,56.3,56.91,57.33,58.75,61.76,56.14,62.52,31.68,30.06,30.63,31.42,32.46,33.66,29.92,33.96,0.8703,0.798,0.8476,0.89,0.9127,0.915,0.7856,0.9156,4.693,4.525,4.645,4.741,4.789,4.794,4.495,4.795,1.369e+05,9.008e+04,1.074e+05,1.44e+05,1.735e+05,1.736e+05,85742,173629,0.4048,0.2358,0.3035,0.4169,0.5183,0.557,0.2189,0.5667,0.2113,0.196,0.2084,0.2151,0.2181,0.2214,0.1929,0.2222,7.637e-08,7.037e-08,7.518e-08,7.799e-08,7.918e-08,8.011e-08,6.917e-08,8.034e-08,32.48,25.15,26.58,31.56,37.47,41.12,24.8,42.03,0.007037,0.003842,0.005202,0.007276,0.009111,0.009897,0.003502,0.01009,0.01296,0.007091,0.009669,0.01323,0.01652,0.01846,0.006447,0.01894,0.4658,0.2674,0.3766,0.4853,0.5745,0.637,0.2401,0.6526,1.911,1.075,1.439,1.974,2.446,2.659,0.9839,2.713
40,4,59.47,57.55,57.93,58.49,60.03,62.76,57.46,63.45,31.97,30.19,30.96,31.68,32.7,34.17,29.99,34.54,0.8762,0.8088,0.852,0.8936,0.9178,0.9194,0.798,0.9199,4.674,4.52,4.61,4.655,4.719,4.853,4.497,4.886,1.431e+05,9.704e+04,1.143e+05,1.502e+05,1.79e+05,1.794e+05,92731,179499,0.4229,0.2539,0.3226,0.4352,0.5355,0.5747,0.2368,0.5846,0.227,0.2055,0.2155,0.2289,0.2405,0.2458,0.203,0.2472,8.212e-08,7.377e-08,7.537e-08,8.269e-08,8.944e-08,8.966e-08,7.337e-08,8.972e-08,30.78,24.37,25.72,30.11,35.17,38.12,24.04,38.86,0.007192,0.004079,0.005468,0.007431,0.009154,0.00997,0.003732,0.01017,0.01344,0.007511,0.01014,0.0137,0.01701,0.01899,0.006855,0.01949,0.4839,0.2848,0.3945,0.5031,0.5925,0.656,0.2574,0.6719,1.98,1.162,1.553,2.069,2.495,2.672,1.065,2.717
40,5,56.07,49.01,50.29,54.11,59.89,65.87,48.69,67.36,32.03,29.3,30.67,31.74,33.1,35.16,28.95,35.67,0.877,0.8272,0.8404,0.8754,0.912,0.929,0.8239,0.9332,5.274,4.746,4.964,5.223,5.533,5.874,4.692,5.959,1.15e+05,8.625e+04,9.881e+04,1.198e+05,1.36e+05,1.369e+05,83110,137103,0.3383,0.2255,0.2787,0.3466,0.4062,0.4397,0.2122,0.448,0.9357,0.8756,0.8779,0.9172,0.975,1.022,0.875,1.033,3.376e-07,3.183e-07,3.264e-07,3.376e-07,3.488e-07,3.57e-07,3.163e-07,3.59e-07,37.28,31.87,33.93,37.2,40.56,42.8,31.36,43.36,0.006328,0.003464,0.004719,0.00648,0.008089,0.00898,0.00315,0.009202,0.01083,0.006456,0.008485,0.01094,0.01329,0.01504,0.005948,0.01547,0.3889,0.2481,0.3307,0.3993,0.4575,0.5153,0.2274,0.5297,1.825,1.074,1.39,1.818,2.254,2.587,0.9955,2.67
40,6,59.36,52.83,55.18,58.48,62.65,67.12,52.25,68.24,32.13,29.51,30.99,31.89,33.03,35.08,29.15,35.59,0.8831,0.83,0.8489,0.8875,0.9217,0.9302,0.8253,0.9323,5.109,4.547,4.856,5.179,5.431,5.572,4.47,5.608,1.182e+05,8.889e+04,1.024e+05,1.236e+05,1.394e+05,1.4e+05,85518,140146,0.3478,0.2324,0.2888,0.3574,0.4163,0.4497,0.2183,0.458,1.462,1.386,1.409,1.454,1.507,1.551,1.38,1.562,5.283e-07,5.008e-07,5.094e-07,5.256e-07,5.445e-07,5.598e-07,4.986e-07,5.636e-07,36.22,31.16,33.1,36.04,39.17,41.54,30.68,42.14,0.006067,0.00349,0.004653,0.006152,0.007566,0.008526,0.003199,0.008766,0.01107,0.006671,0.008815,0.01122,0.01348,0.01527,0.006135,0.01571,0.3964,0.2558,0.3424,0.4084,0.4624,0.5201,0.2342,0.5345,1.813,1.063,1.412,1.907,2.308,2.43,0.976,2.461
40,7,59.37,52.88,55.28,58.55,62.64,67.02,52.28,68.12,32.16,29.53,31,31.91,33.07,35.15,29.16,35.67,0.8836,0.8305,0.8496,0.8879,0.9219,0.9307,0.8258,0.9329,5.034,4.406,4.905,5.238,5.367,5.375,4.282,5.377,1.187e+05,8.916e+04,1.027e+05,1.241e+05,1.401e+05,1.406e+05,85772,140699,0.3491,0.2331,0.2897,0.3589,0.4183,0.4515,0.219,0.4598,1.785,1.7,1.765,1.798,1.817,1.851,1.683,1.86,6.473e-07,5.776e-07,5.994e-07,6.404e-07,6.884e-07,7.267e-07,5.721e-07,7.363e-07,36.09,31.03,32.94,35.89,39.04,41.42,30.56,42.01,0.006087,0.003505,0.004668,0.006169,0.007588,0.008554,0.003215,0.008795,0.01111,0.006677,0.008832,0.01126,0.01354,0.01532,0.006139,0.01577,0.3977,0.2564,0.3432,0.4099,0.4643,0.5218,0.2347,0.5362,1.795,1.037,1.436,1.888,2.247,2.422,0.9376,2.466
40,8,56.53,49.46,51.89,55.31,59.94,65.3,48.86,66.64,31.86,29.14,30.61,31.65,32.91,34.88,28.78,35.38,0.877,0.8249,0.8406,0.8784,0.9148,0.9271,0.8209,0.9302,5.427,5.174,5.202,5.437,5.662,5.666,5.167,5.667,1.092e+05,8.248e+04,9.432e+04,1.139e+05,1.288e+05,1.292e+05,79523,129294,0.321,0.2156,0.266,0.3305,0.3855,0.4132,0.203,0.4202,6.16,5.67,5.923,6.121,6.358,6.706,5.606,6.792,2.221e-06,2.169e-06,2.177e-06,2.213e-06,2.257e-06,2.284e-06,2.168e-06,2.29e-06,39.19,33.9,35.72,39.01,42.48,44.75,33.44,45.31,0.005922,0.003336,0.004492,0.00602,0.007451,0.00837,0.003047,0.0086,0.01032,0.00622,0.008144,0.01046,0.01263,0.01421,0.005739,0.0146,0.3687,0.238,0.3168,0.3803,0.4323,0.4832,0.2183,0.496,1.761,1.116,1.385,1.808,2.184,2.339,1.049,2.378
40,9,56.54,49.48,51.91,55.34,59.96,65.27,48.88,66.6,31.87,29.15,30.61,31.66,32.91,34.88,28.78,35.38,0.8771,0.825,0.8407,0.8786,0.915,0.9272,0.821,0.9302,5.4,5.081,5.175,5.437,5.662,5.666,5.058,5.667,1.092e+05,8.225e+04,9.437e+04,1.14e+05,1.288e+05,1.295e+05,79226,129671,0.3212,0.2151,0.2662,0.3313,0.3863,0.4133,0.2023,0.4201,8.771,7.968,8.461,8.887,9.197,9.412,7.845,9.466,3.163e-06,3.038e-06,3.105e-06,3.169e-06,3.226e-06,3.279e-06,3.021e-06,3.292e-06,39.2,33.89,35.65,38.92,42.47,44.88,33.45,45.48,0.005924,0.003328,0.004493,0.006032,0.007463,0.008368,0.003037,0.008595,0.01032,0.006204,0.008149,0.01049,0.01266,0.01421,0.005718,0.0146,0.3689,0.2374,0.317,0.3812,0.4331,0.4832,0.2174,0.4958,1.756,1.094,1.38,1.812,2.188,2.34,1.023,2.378
40,10,56.52,49.43,51.88,55.31,59.94,65.3,48.82,66.64,31.86,29.14,30.61,31.65,32.91,34.88,28.78,35.38,0.877,0.8249,0.8406,0.8784,0.9148,0.9271,0.8209,0.9302,5.427,5.174,5.202,5.437,5.662,5.666,5.167,5.667,1.089e+05,8.222e+04,9.404e+04,1.136e+05,1.285e+05,1.29e+05,79263,129176,0.3203,0.2149,0.2653,0.3299,0.385,0.4123,0.2024,0.4191,6.227,5.811,6.017,6.199,6.409,6.681,5.759,6.749,2.247e-06,2.162e-06,2.193e-06,2.241e-06,2.295e-06,2.341e-06,2.154e-06,2.353e-06,39.29,33.97,35.77,39.09,42.61,44.89,33.52,45.46,0.005911,0.003325,0.004479,0.00601,0.007442,0.008356,0.003037,0.008585,0.01029,0.0062,0.008121,0.01044,0.01262,0.01417,0.00572,0.01456,0.3679,0.2372,0.3159,0.3797,0.4317,0.4821,0.2176,0.4947,1.757,1.113,1.381,1.805,2.181,2.334,1.046,2.372
