format,quality,resolution,ssimulacra2_mean,ssimulacra2_p05,ssimulacra2_p25,ssimulacra2_p50,ssimulacra2_p75,ssimulacra2_p95,ssimulacra2_min,ssimulacra2_max,psnr_mean,psnr_p05,psnr_p25,psnr_p50,psnr_p75,psnr_p95,psnr_min,psnr_max,ssim_mean,ssim_p05,ssim_p25,ssim_p50,ssim_p75,ssim_p95,ssim_min,ssim_max,butteraugli_mean,butteraugli_p05,butteraugli_p25,butteraugli_p50,butteraugli_p75,butteraugli_p95,butteraugli_min,butteraugli_max,file_size_mean,file_size_p05,file_size_p25,file_size_p50,file_size_p75,file_size_p95,file_size_min,file_size_max,bits_per_pixel_mean,bits_per_pixel_p05,bits_per_pixel_p25,bits_per_pixel_p50,bits_per_pixel_p75,bits_per_pixel_p95,bits_per_pixel_min,bits_per_pixel_max,encoding_time_mean,encoding_time_p05,encoding_time_p25,encoding_time_p50,encoding_time_p75,encoding_time_p95,encoding_time_min,encoding_time_max,encoding_time_per_pixel_mean,encoding_time_per_pixel_p05,encoding_time_per_pixel_p25,encoding_time_per_pixel_p50,encoding_time_per_pixel_p75,encoding_time_per_pixel_p95,encoding_time_per_pixel_min,encoding_time_per_pixel_max,compression_ratio_mean,compression_ratio_p05,compression_ratio_p25,compression_ratio_p50,compression_ratio_p75,compression_ratio_p95,compression_ratio_min,compression_ratio_max,bits_per_ssimulacra2_per_pixel_mean,bits_per_ssimulacra2_per_pixel_p05,bits_per_ssimulacra2_per_pixel_p25,bits_per_ssimulacra2_per_pixel_p50,bits_per_ssimulacra2_per_pixel_p75,bits_per_ssimulacra2_per_pixel_p95,bits_per_ssimulacra2_per_pixel_min,bits_per_ssimulacra2_per_pixel_max,bits_per_psnr_per_pixel_mean,bits_per_psnr_per_pixel_p05,bits_per_psnr_per_pixel_p25,bits_per_psnr_per_pixel_p50,bits_per_psnr_per_pixel_p75,bits_per_psnr_per_pixel_p95,bits_per_psnr_per_pixel_min,bits_per_psnr_per_pixel_max,bits_per_ssim_per_pixel_mean,bits_per_ssim_per_pixel_p05,bits_per_ssim_per_pixel_p25,bits_per_ssim_per_pixel_p50,bits_per_ssim_per_pixel_p75,bits_per_ssim_per_pixel_p95,bits_per_ssim_per_pixel_min,bits_per_ssim_per_pixel_max,bits_per_butteraugli_per_pixel_mean,bits_per_butteraugli_per_pixel_p05,bits_per_butteraugli_per_pixel_p25,bits_per_butteraugli_per_pixel_p50,bits_per_butteraugli_per_pixel_p75,bits_per_butteraugli_per_pixel_p95,bits_per_butteraugli_per_pixel_min,bits_per_butteraugli_per_pixel_max
avif,65,120,76.4,70.39,74.11,76.46,79.17,82.32,55.53,85.92,36.41,34.38,35.33,36.32,37.33,38.35,33.99,41.13,0.982,0.967,0.979,0.9843,0.9887,0.9911,0.9218,0.9971,1.414,1.079,1.249,1.379,1.548,1.858,0.8952,2.072,3978,1922,3001,3844,4855,6490,1215,7318,3.243,1.669,2.501,3.176,3.955,5.003,1.012,6.098,0.1344,0.08702,0.1132,0.1342,0.1544,0.1841,0.04317,0.211,1.368e-05,9.165e-06,1.205e-05,1.371e-05,1.551e-05,1.777e-05,4.497e-06,1.911e-05,5.533,4.008,4.663,5.537,6.232,7.4,3.598,8.868,0.0428,0.02183,0.0317,0.04134,0.05396,0.06518,0.01337,0.0818,0.09015,0.04234,0.06744,0.08671,0.1122,0.1428,0.02462,0.1774,3.3,1.691,2.555,3.217,4.028,5.054,1.015,6.139,4.477,2.52,3.628,4.446,5.251,6.718,1.093,7.997
avif,65,160,78.99,72,75.28,77.9,82.58,87.29,62.07,88.33,36.68,34.48,35.63,36.61,37.59,38.61,34.2,41.5,0.9813,0.9672,0.9784,0.9836,0.9879,0.9908,0.9111,0.9968,1.477,1.122,1.341,1.463,1.643,1.818,0.8592,1.949,6376,3020,4835,6285,7728,1.054e+04,1613,12650,2.937,1.422,2.212,2.871,3.646,4.626,0.7608,5.967,0.2209,0.1369,0.1858,0.2244,0.2526,0.2882,0.06959,0.3529,1.271e-05,8.08e-06,1.103e-05,1.276e-05,1.45e-05,1.686e-05,4.103e-06,1.849e-05,6.006,4.185,4.926,5.825,6.828,8.525,3.673,10.58,0.03749,0.01871,0.02734,0.03539,0.04733,0.05832,0.009821,0.08044,0.08112,0.03704,0.05849,0.07874,0.1019,0.1339,0.01834,0.1705,2.991,1.447,2.262,2.928,3.703,4.702,0.7633,6.01,4.21,2.375,3.438,4.265,5.076,5.887,0.9285,7.04
avif,65,200,85.15,79.84,84.68,85.75,86.45,87.57,69.41,88.66,36.87,34.6,35.88,36.69,37.72,38.89,34.28,41.76,0.9806,0.9662,0.9765,0.9822,0.9869,0.9902,0.9155,0.997,1.54,1.197,1.399,1.552,1.667,1.944,0.9502,2.212,9125,4034,6915,9044,1.103e+04,1.554e+04,2065,18074,2.68,1.208,1.985,2.62,3.326,4.33,0.6211,5.436,0.2896,0.1732,0.2396,0.2924,0.3349,0.4225,0.09662,0.484,1.062e-05,6.937e-06,8.979e-06,1.07e-05,1.249e-05,1.433e-05,3.632e-06,1.571e-05,6.471,4.474,5.351,6.314,7.334,9.459,3.954,11.74,0.03147,0.01464,0.02328,0.03039,0.03876,0.05031,0.007005,0.06245,0.07371,0.03107,0.05303,0.07087,0.0938,0.1254,0.01487,0.1537,2.732,1.245,2.026,2.666,3.393,4.387,0.6229,5.472,4,2.031,3.17,4.075,4.825,5.764,0.8891,6.395
avif,65,240,85.09,82.12,84.24,85.47,86.24,87.38,78.73,88.66,37,34.8,35.99,36.87,37.84,39.13,34.36,42.23,0.9798,0.9656,0.9761,0.9808,0.9858,0.9903,0.9121,0.997,1.645,1.28,1.463,1.64,1.79,2.073,0.9351,2.205,1.227e+04,5387,9033,1.209e+04,1.505e+04,2.185e+04,2477,24598,2.5,1.073,1.82,2.451,3.099,4.173,0.516,5.125,0.4393,0.2663,0.3659,0.4396,0.5225,0.6173,0.1166,0.7083,1.118e-05,7.219e-06,9.475e-06,1.12e-05,1.331e-05,1.537e-05,3.037e-06,1.675e-05,6.877,4.721,5.658,6.69,7.782,10.92,4.158,12.82,0.02931,0.01341,0.02168,0.02871,0.03621,0.04821,0.005821,0.05847,0.06855,0.02775,0.04783,0.06572,0.08626,0.1201,0.01222,0.1482,2.55,1.121,1.862,2.488,3.144,4.232,0.5176,5.175,3.982,1.967,3.162,4.002,4.771,6.183,0.8324,6.847
avif,65,320,84.45,81.82,83.67,84.65,85.65,86.68,77.56,87.47,37.26,35.18,36.26,37.16,38.11,39.56,34.2,42.78,0.9788,0.9673,0.975,0.9798,0.9843,0.9899,0.9122,0.9967,1.742,1.3,1.576,1.746,1.891,2.247,1.063,2.548,1.986e+04,7862,1.436e+04,1.886e+04,2.422e+04,3.715e+04,3305,42307,2.279,0.8914,1.633,2.189,2.821,3.882,0.3879,4.966,0.7077,0.4091,0.5708,0.7106,0.8254,1.028,0.1627,1.257,1.013e-05,6.002e-06,8.375e-06,1.012e-05,1.204e-05,1.41e-05,2.387e-06,1.63e-05,7.44,4.972,6.044,7.037,8.449,12.56,4.223,14.65,0.02692,0.0105,0.01968,0.02598,0.03291,0.04569,0.004475,0.05702,0.06213,0.0224,0.04277,0.05935,0.07784,0.1103,0.009068,0.1425,2.327,0.9147,1.681,2.235,2.866,3.956,0.3892,5.016,3.815,1.874,3.052,3.803,4.637,5.853,0.7151,7.047
avif,65,480,83.67,80.5,82.71,83.74,85.08,86.42,76.88,87.67,37.59,35.5,36.53,37.51,38.46,40.01,34.28,43.8,0.977,0.9645,0.9735,0.9773,0.9827,0.9884,0.9163,0.9962,1.883,1.439,1.709,1.852,2.027,2.338,1.116,2.769,3.877e+04,1.274e+04,2.699e+04,3.79e+04,4.769e+04,7.301e+04,5047,87515,1.982,0.6644,1.41,1.953,2.48,3.584,0.2637,4.572,1.462,0.8329,1.169,1.454,1.735,2.149,0.3255,2.583,9.324e-06,5.951e-06,7.495e-06,9.401e-06,1.111e-05,1.345e-05,2.126e-06,1.491e-05,8.454,5.184,6.775,7.711,9.57,15.17,4.433,19.58,0.02362,0.008245,0.01703,0.02343,0.02931,0.04134,0.003008,0.05273,0.05365,0.01669,0.0366,0.05263,0.06852,0.1007,0.00602,0.1295,2.028,0.6853,1.438,1.999,2.534,3.636,0.2647,4.624,3.582,1.447,2.698,3.592,4.333,5.874,0.5847,7.346
avif,65,720,82.77,78.93,81.72,82.62,84.2,85.85,75.7,87.57,37.9,35.75,37.08,37.74,38.63,40.55,34.39,44.44,0.9746,0.9585,0.9718,0.9762,0.98,0.9873,0.9153,0.9952,1.968,1.583,1.802,1.972,2.143,2.355,1.166,2.54,7.798e+04,2.488e+04,5.29e+04,7.284e+04,9.683e+04,1.429e+05,8128,194674,1.772,0.5771,1.237,1.669,2.225,3.504,0.1885,4.478,3.042,1.645,2.435,3.068,3.677,4.603,0.6127,5.033,8.629e-06,4.769e-06,6.845e-06,8.8e-06,1.049e-05,1.237e-05,1.777e-06,1.368e-05,9.539,5.573,7.139,8.53,10.22,16.67,4.314,27.14,0.02132,0.007207,0.01514,0.02029,0.02679,0.04242,0.002162,0.05256,0.04764,0.01451,0.03207,0.04428,0.05999,0.09964,0.004243,0.1271,1.817,0.5993,1.275,1.72,2.272,3.582,0.1895,4.514,3.35,1.216,2.582,3.243,3.934,5.411,0.4172,8.083
avif,65,1280,81.23,76.21,79.99,81.45,82.79,85.32,73.95,87.13,38.42,36.13,37.63,38.34,39.01,40.84,35.02,44.49,0.9694,0.9429,0.9646,0.9727,0.9782,0.9862,0.9216,0.994,2.213,1.809,1.987,2.162,2.356,2.801,1.537,3.329,1.999e+05,5.77e+04,1.341e+05,1.813e+05,2.424e+05,4.376e+05,17663,539750,1.442,0.4238,0.982,1.318,1.776,3.272,0.1297,3.932,8.675,4.247,6.683,8.372,10.32,13.52,1.745,16.05,7.798e-06,3.898e-06,6.087e-06,7.632e-06,9.265e-06,1.22e-05,1.602e-06,1.461e-05,11.98,5.864,8.484,10.27,12.58,22.88,4.721,45.37,0.01764,0.005479,0.01231,0.01625,0.0209,0.03833,0.001509,0.04806,0.03827,0.01068,0.02553,0.0344,0.04654,0.08945,0.002916,0.11,1.484,0.4473,1.018,1.354,1.817,3.315,0.1308,4.007,3.049,0.9663,2.234,2.948,3.592,5.643,0.306,7.86
avif,65,2048,79.78,72.67,78.95,80.5,81.74,84.13,69.12,86.56,38.83,36.71,37.9,38.87,39.38,40.8,35.27,44.61,0.965,0.9251,0.9594,0.9709,0.9758,0.9832,0.8952,0.9938,2.342,1.943,2.136,2.311,2.565,2.759,1.6,3.574,4.15e+05,1.103e+05,2.718e+05,3.745e+05,5.072e+05,9.4e+05,40114,1105867,1.179,0.3194,0.7772,1.091,1.403,2.55,0.116,3.81,19.62,10.07,15.76,18.65,22.99,31.26,4.339,35.24,6.948e-06,3.64e-06,5.797e-06,6.64e-06,8.167e-06,1.096e-05,1.569e-06,1.311e-05,14.01,6.747,9.58,11.72,15.14,30.7,5.043,66.9,0.01467,0.004068,0.009615,0.01348,0.01757,0.03076,0.001379,0.04782,0.03096,0.007668,0.01956,0.02791,0.03688,0.06855,0.002631,0.108,1.219,0.3354,0.7995,1.128,1.441,2.615,0.1176,3.936,2.638,0.7961,1.834,2.472,3.164,5.024,0.3233,8.548
jpeg,85,120,51.83,33.48,42.78,51.41,61.44,71.64,-12.41,83.61,30.89,26.96,28.96,31.02,32.79,35.09,25.77,37.33,0.9473,0.8916,0.9382,0.9551,0.9677,0.9763,0.8181,0.9909,2.204,1.53,1.734,2.04,2.505,3.232,1.336,4.801,4383,2750,3770,4327,4937,6050,1873,6497,3.575,2.449,3.118,3.569,4.059,4.753,1.561,5.368,0.002725,0.002373,0.00253,0.002683,0.0028,0.002983,0.002118,0.005478,2.794e-07,2.329e-07,2.558e-07,2.76e-07,2.915e-07,3.36e-07,2.096e-07,5.072e-07,4.777,4.098,4.514,4.794,5.076,5.37,3.168,5.863,0.07378,0.04017,0.05211,0.06797,0.09202,0.1283,0.02591,0.1575,0.1181,0.07564,0.09435,0.1146,0.1363,0.1759,0.04181,0.2083,3.779,2.647,3.244,3.776,4.202,5.041,1.575,5.617,7.869,4.574,5.986,7.142,9.483,12.28,2.085,18.43
