quality,crop,ssimulacra2_mean,ssimulacra2_p05,ssimulacra2_p25,ssimulacra2_p50,ssimulacra2_p75,ssimulacra2_p95,ssimulacra2_min,ssimulacra2_max,psnr_mean,psnr_p05,psnr_p25,psnr_p50,psnr_p75,psnr_p95,psnr_min,psnr_max,ssim_mean,ssim_p05,ssim_p25,ssim_p50,ssim_p75,ssim_p95,ssim_min,ssim_max,butteraugli_mean,butteraugli_p05,butteraugli_p25,butteraugli_p50,butteraugli_p75,butteraugli_p95,butteraugli_min,butteraugli_max,file_size_mean,file_size_p05,file_size_p25,file_size_p50,file_size_p75,file_size_p95,file_size_min,file_size_max,bits_per_pixel_mean,bits_per_pixel_p05,bits_per_pixel_p25,bits_per_pixel_p50,bits_per_pixel_p75,bits_per_pixel_p95,bits_per_pixel_min,bits_per_pixel_max,encoding_time_mean,encoding_time_p05,encoding_time_p25,encoding_time_p50,encoding_time_p75,encoding_time_p95,encoding_time_min,encoding_time_max,encoding_time_per_pixel_mean,encoding_time_per_pixel_p05,encoding_time_per_pixel_p25,encoding_time_per_pixel_p50,encoding_time_per_pixel_p75,encoding_time_per_pixel_p95,encoding_time_per_pixel_min,encoding_time_per_pixel_max,compression_ratio_mean,compression_ratio_p05,compression_ratio_p25,compression_ratio_p50,compression_ratio_p75,compression_ratio_p95,compression_ratio_min,compression_ratio_max,bits_per_ssimulacra2_per_pixel_mean,bits_per_ssimulacra2_per_pixel_p05,bits_per_ssimulacra2_per_pixel_p25,bits_per_ssimulacra2_per_pixel_p50,bits_per_ssimulacra2_per_pixel_p75,bits_per_ssimulacra2_per_pixel_p95,bits_per_ssimulacra2_per_pixel_min,bits_per_ssimulacra2_per_pixel_max,bits_per_psnr_per_pixel_mean,bits_per_psnr_per_pixel_p05,bits_per_psnr_per_pixel_p25,bits_per_psnr_per_pixel_p50,bits_per_psnr_per_pixel_p75,bits_per_psnr_per_pixel_p95,bits_per_psnr_per_pixel_min,bits_per_psnr_per_pixel_max,bits_per_ssim_per_pixel_mean,bits_per_ssim_per_pixel_p05,bits_per_ssim_per_pixel_p25,bits_per_ssim_per_pixel_p50,bits_per_ssim_per_pixel_p75,bits_per_ssim_per_pixel_p95,bits_per_ssim_per_pixel_min,bits_per_ssim_per_pixel_max,bits_per_butteraugli_per_pixel_mean,bits_per_butteraugli_per_pixel_p05,bits_per_butteraugli_per_pixel_p25,bits_per_butteraugli_per_pixel_p50,bits_per_butteraugli_per_pixel_p75,bits_per_butteraugli_per_pixel_p95,bits_per_butteraugli_per_pixel_min,bits_per_butteraugli_per_pixel_max
30,400,48.1,32.93,41.34,49.91,54.48,60.77,23.05,64.38,28.47,26.03,27.39,28.4,29.32,31.93,21.75,33.79,0.8464,0.752,0.8147,0.85,0.8852,0.9252,0.7326,0.9423,4.584,3.607,4.149,4.515,4.915,6.086,3.24,7.298,1.077e+04,3379,7828,1.073e+04,1.335e+04,1.87e+04,2132,26916,0.7912,0.2523,0.5673,0.7686,1.012,1.388,0.1534,1.788,0.04451,0.02699,0.03865,0.0433,0.05181,0.06004,0.0186,0.07486,4.076e-07,2.533e-07,3.553e-07,4.05e-07,4.677e-07,5.602e-07,2.057e-07,6.001e-07,24.13,14.06,18.14,21.22,26.73,44.76,11.47,87.65,0.01663,0.00614,0.01167,0.0149,0.02017,0.02936,0.003708,0.04876,0.02859,0.007716,0.01941,0.02672,0.03685,0.05288,0.004898,0.06829,0.9303,0.3026,0.6654,0.8972,1.149,1.583,0.209,1.933,3.513,1.287,2.535,3.404,4.372,5.718,0.7536,8.824
30,800,44.43,27.17,38.4,45.68,51.86,56.28,20.56,63.93,28.16,25.76,27.05,28.03,29.11,31.71,21.39,33.62,0.833,0.7361,0.7983,0.838,0.8727,0.9124,0.7136,0.933,4.827,3.949,4.345,4.64,5.057,6.382,3.328,7.286,3.455e+04,1.018e+04,2.258e+04,3.237e+04,4.256e+04,6.748e+04,5358,97266,0.6347,0.1812,0.3964,0.5996,0.7932,1.234,0.09654,1.616,0.1445,0.0829,0.1165,0.1413,0.1705,0.2098,0.06481,0.2671,3.308e-07,1.894e-07,2.645e-07,3.289e-07,3.871e-07,4.841e-07,1.792e-07,5.589e-07,29.13,14.64,20.59,23.88,33.08,51.34,12.27,133.3,0.01456,0.005034,0.009277,0.01294,0.01887,0.02863,0.002382,0.04694,0.0232,0.005841,0.01335,0.02135,0.02987,0.04971,0.003096,0.06098,0.7582,0.2133,0.4843,0.7196,0.9305,1.501,0.1314,1.771,2.955,1.018,2.023,2.801,3.535,5.488,0.5158,7.513
30,1200,42.74,24.02,36.59,43.68,49.86,56.44,21.06,64.25,28.01,25.15,26.85,27.82,29.02,31.62,21.62,33.65,0.8256,0.7301,0.7868,0.8348,0.8649,0.9059,0.7115,0.9307,4.913,3.945,4.402,4.78,5.197,6.383,3.77,8.166,6.815e+04,1.958e+04,4.532e+04,6.352e+04,8.437e+04,1.39e+05,12072,198600,0.5568,0.1588,0.3742,0.5036,0.6936,1.168,0.09661,1.465,0.2938,0.1743,0.2367,0.2827,0.3416,0.442,0.1383,0.5485,2.989e-07,1.79e-07,2.426e-07,2.882e-07,3.438e-07,4.615e-07,1.565e-07,5.056e-07,31.51,15.49,22.29,26.72,35.68,56.65,13.12,131.9,0.01339,0.00465,0.008594,0.01202,0.01748,0.02846,0.00237,0.04569,0.02051,0.0049,0.01272,0.01882,0.02597,0.0444,0.00311,0.06022,0.6733,0.1831,0.4456,0.6164,0.8215,1.378,0.122,1.792,2.626,0.8969,1.791,2.439,3.354,4.766,0.5425,7.529
30,1600,41.78,23.89,35.24,43.72,49.07,55.81,19.86,62.43,27.93,25.16,26.82,27.66,29.05,31.5,21.57,33.56,0.8214,0.7281,0.7797,0.8299,0.8656,0.9042,0.6931,0.9288,4.955,4.219,4.469,4.81,5.143,6.542,3.564,7.577,1.115e+05,2.787e+04,7.022e+04,1.028e+05,1.4e+05,2.261e+05,17022,342924,0.5119,0.1448,0.325,0.4719,0.6438,1.062,0.07999,1.423,0.4929,0.2918,0.3825,0.4783,0.5719,0.7268,0.2245,0.9569,2.818e-07,1.69e-07,2.223e-07,2.782e-07,3.188e-07,4.449e-07,1.319e-07,4.963e-07,32.97,16.26,23.32,28.81,36.12,58.17,13.38,131.6,0.01268,0.003583,0.008044,0.01079,0.01686,0.02565,0.001647,0.04437,0.01892,0.004389,0.01142,0.01685,0.02405,0.04077,0.00255,0.05742,0.6224,0.1658,0.3956,0.5639,0.7603,1.223,0.09637,1.709,2.449,0.8122,1.702,2.21,3.075,4.657,0.4653,7.195
30,2048,40.17,20.66,33.51,41.32,47.75,54.57,16.19,62.37,27.83,25.15,26.61,27.64,28.95,31.46,21.41,33.66,0.8155,0.728,0.7731,0.8266,0.8583,0.9045,0.6717,0.9259,5.064,4.296,4.584,4.915,5.403,6.267,3.711,7.928,1.605e+05,4.384e+04,1.02e+05,1.447e+05,1.926e+05,3.614e+05,19076,453548,0.4535,0.1287,0.2951,0.413,0.5521,0.9944,0.05517,1.315,0.748,0.4645,0.5977,0.7189,0.8556,1.133,0.3187,1.37,2.632e-07,1.7e-07,2.153e-07,2.545e-07,2.925e-07,4.101e-07,1.152e-07,4.731e-07,35.81,16.17,25.42,30.04,39.1,72.56,14.4,131.9,0.01179,0.003021,0.0072,0.01033,0.01528,0.0231,0.00113,0.04724,0.01683,0.004317,0.01044,0.0147,0.01977,0.03743,0.001758,0.0605,0.5552,0.1665,0.3686,0.5117,0.6571,1.167,0.0665,1.797,2.211,0.7268,1.499,1.999,2.674,4.408,0.3017,8.04
40,400,55.54,43.02,50.98,57.48,60.89,65.44,36.41,68.31,29.46,27.34,28.55,29.36,30.27,32.59,22.4,34.59,0.8748,0.7892,0.8516,0.8821,0.9066,0.9402,0.7412,0.9584,3.892,3.055,3.481,3.782,4.123,5.077,2.801,6.884,1.294e+04,4093,9374,1.266e+04,1.595e+04,2.26e+04,2566,30936,0.9504,0.296,0.6892,0.9218,1.246,1.687,0.1846,2.056,0.04859,0.02929,0.0421,0.04911,0.0556,0.06701,0.01966,0.08064,4.45e-07,2.718e-07,3.816e-07,4.434e-07,5.112e-07,6.202e-07,2.175e-07,6.556e-07,20,11.54,14.9,17.76,21.67,37.17,9.979,72.83,0.01712,0.006146,0.01237,0.01596,0.02107,0.02986,0.003962,0.04421,0.03311,0.009452,0.02292,0.03195,0.04305,0.06071,0.005816,0.0788,1.081,0.3601,0.7747,1.052,1.349,1.858,0.2491,2.211,3.582,1.348,2.636,3.353,4.423,6.066,0.8081,9.819
40,800,52.96,39.22,48.01,53.99,58.69,62.71,32.65,68.81,29.19,27.02,28.09,29.16,30.08,32.66,22.08,34.58,0.8653,0.7783,0.8407,0.8698,0.8989,0.9325,0.74,0.9478,4.014,3.134,3.648,3.889,4.294,5.013,2.953,6.029,4.161e+04,1.199e+04,2.762e+04,3.968e+04,5.124e+04,8.139e+04,6172,113076,0.7646,0.2186,0.4804,0.7259,0.9526,1.487,0.1112,1.878,0.1562,0.08472,0.122,0.1573,0.182,0.2318,0.06806,0.2714,3.579e-07,1.994e-07,2.805e-07,3.579e-07,4.157e-07,5.267e-07,1.85e-07,5.635e-07,24.23,12.15,17.18,20.09,27.1,42.63,10.55,115.7,0.01447,0.004863,0.009368,0.01336,0.01901,0.02712,0.00239,0.04099,0.0269,0.006835,0.0158,0.02501,0.03447,0.05613,0.003501,0.07119,0.879,0.2461,0.568,0.8371,1.091,1.751,0.1475,2.005,2.943,1.052,2.062,2.825,3.686,5.128,0.5139,7.361
40,1200,51.71,37.86,46.38,51.86,57.96,61.66,33.22,67.56,29.04,26.59,27.94,28.92,29.95,32.51,22.28,34.67,0.8598,0.7731,0.8328,0.8654,0.8944,0.9295,0.7384,0.9441,4.094,3.262,3.715,4.06,4.274,5.279,2.975,5.991,8.212e+04,2.273e+04,5.511e+04,7.661e+04,1.001e+05,1.681e+05,14046,236662,0.6711,0.1864,0.4488,0.63,0.8321,1.41,0.1124,1.745,0.3191,0.178,0.2556,0.3165,0.3718,0.4783,0.142,0.5948,3.246e-07,1.863e-07,2.6e-07,3.275e-07,3.768e-07,4.992e-07,1.598e-07,5.564e-07,26.23,12.87,18.51,21.8,29.42,45.94,11.01,113.4,0.01305,0.004303,0.008639,0.01159,0.01706,0.02601,0.002426,0.0419,0.02377,0.005525,0.01495,0.02251,0.0303,0.05166,0.003546,0.07085,0.778,0.2102,0.5089,0.7109,0.9598,1.608,0.1376,2.086,2.661,0.8811,1.892,2.43,3.461,4.874,0.4602,8.092
40,1600,50.9,36.95,46.21,51.61,56.72,61.22,32.29,66.6,28.96,26.55,27.84,28.82,29.91,32.41,22.33,34.57,0.8568,0.7726,0.8275,0.8641,0.8921,0.9289,0.7398,0.9426,4.134,3.454,3.762,4.045,4.317,5.316,3.048,5.816,1.341e+05,3.258e+04,8.524e+04,1.254e+05,1.699e+05,2.705e+05,20076,403296,0.6156,0.1695,0.3948,0.5591,0.7863,1.262,0.09434,1.673,0.536,0.3202,0.416,0.5308,0.6316,0.7631,0.2415,1.04,3.066e-07,1.864e-07,2.443e-07,3.04e-07,3.534e-07,4.771e-07,1.419e-07,5.393e-07,27.48,13.53,19.22,23.77,30.35,48.2,11.37,111.9,0.01221,0.003588,0.007673,0.0109,0.0158,0.02361,0.001725,0.04198,0.02188,0.005029,0.01341,0.01958,0.0279,0.04636,0.002946,0.06825,0.7166,0.1894,0.4616,0.6414,0.8802,1.412,0.1113,2.011,2.472,0.8295,1.644,2.184,3.042,4.573,0.4515,8.864
40,2048,49.55,35.24,44.43,50.56,55.49,60.78,29.23,66.91,28.87,26.53,27.72,28.77,29.91,32.2,22.22,34.5,0.853,0.7703,0.8224,0.8589,0.8855,0.9219,0.7386,0.942,4.225,3.555,3.903,4.101,4.462,5.328,2.915,6.455,1.93e+05,5.166e+04,1.213e+05,1.73e+05,2.336e+05,4.216e+05,22024,538362,0.5456,0.1552,0.3523,0.5016,0.6559,1.206,0.06369,1.6,0.8065,0.4848,0.6489,0.7816,0.9364,1.223,0.3171,1.476,2.837e-07,1.719e-07,2.303e-07,2.825e-07,3.149e-07,4.476e-07,1.146e-07,5.028e-07,29.87,13.92,21.06,25.1,32.59,61.2,12.01,113.4,0.01111,0.00303,0.00707,0.01013,0.01342,0.02383,0.001155,0.0418,0.01947,0.005073,0.01201,0.01734,0.02304,0.0432,0.001988,0.07128,0.6378,0.1901,0.4158,0.5867,0.7639,1.331,0.07512,2.093,2.242,0.7627,1.443,2.055,2.594,4.719,0.2894,9.002
