quality,method,ssimulacra2_mean,ssimulacra2_p05,ssimulacra2_p25,ssimulacra2_p50,ssimulacra2_p75,ssimulacra2_p95,ssimulacra2_min,ssimulacra2_max,psnr_mean,psnr_p05,psnr_p25,psnr_p50,psnr_p75,psnr_p95,psnr_min,psnr_max,ssim_mean,ssim_p05,ssim_p25,ssim_p50,ssim_p75,ssim_p95,ssim_min,ssim_max,butteraugli_mean,butteraugli_p05,butteraugli_p25,butteraugli_p50,butteraugli_p75,butteraugli_p95,butteraugli_min,butteraugli_max,file_size_mean,file_size_p05,file_size_p25,file_size_p50,file_size_p75,file_size_p95,file_size_min,file_size_max,bits_per_pixel_mean,bits_per_pixel_p05,bits_per_pixel_p25,bits_per_pixel_p50,bits_per_pixel_p75,bits_per_pixel_p95,bits_per_pixel_min,bits_per_pixel_max,encoding_time_mean,encoding_time_p05,encoding_time_p25,encoding_time_p50,encoding_time_p75,encoding_time_p95,encoding_time_min,encoding_time_max,encoding_time_per_pixel_mean,encoding_time_per_pixel_p05,encoding_time_per_pixel_p25,encoding_time_per_pixel_p50,encoding_time_per_pixel_p75,encoding_time_per_pixel_p95,encoding_time_per_pixel_min,encoding_time_per_pixel_max,compression_ratio_mean,compression_ratio_p05,compression_ratio_p25,compression_ratio_p50,compression_ratio_p75,compression_ratio_p95,compression_ratio_min,compression_ratio_max,bits_per_ssimulacra2_per_pixel_mean,bits_per_ssimulacra2_per_pixel_p05,bits_per_ssimulacra2_per_pixel_p25,bits_per_ssimulacra2_per_pixel_p50,bits_per_ssimulacra2_per_pixel_p75,bits_per_ssimulacra2_per_pixel_p95,bits_per_ssimulacra2_per_pixel_min,bits_per_ssimulacra2_per_pixel_max,bits_per_psnr_per_pixel_mean,bits_per_psnr_per_pixel_p05,bits_per_psnr_per_pixel_p25,bits_per_psnr_per_pixel_p50,bits_per_psnr_per_pixel_p75,bits_per_psnr_per_pixel_p95,bits_per_psnr_per_pixel_min,bits_per_psnr_per_pixel_max,bits_per_ssim_per_pixel_mean,bits_per_ssim_per_pixel_p05,bits_per_ssim_per_pixel_p25,bits_per_ssim_per_pixel_p50,bits_per_ssim_per_pixel_p75,bits_per_ssim_per_pixel_p95,bits_per_ssim_per_pixel_min,bits_per_ssim_per_pixel_max,bits_per_butteraugli_per_pixel_mean,bits_per_butteraugli_per_pixel_p05,bits_per_butteraugli_per_pixel_p25,bits_per_butteraugli_per_pixel_p50,bits_per_butteraugli_per_pixel_p75,bits_per_butteraugli_per_pixel_p95,bits_per_butteraugli_per_pixel_min,bits_per_butteraugli_per_pixel_max
30,0,53.66,52.55,52.98,53.17,53.86,55.45,52.45,55.85,32.45,30.41,31.21,32.17,33.42,34.88,30.21,35.25,0.8846,0.8381,0.866,0.892,0.9106,0.9207,0.8311,0.9232,7.036,6.019,6.684,6.99,7.342,8.117,5.853,8.311,1.768e+05,1.061e+05,1.291e+05,1.838e+05,2.316e+05,2.378e+05,100416,239298,0.5244,0.278,0.3647,0.5465,0.7061,0.7399,0.2564,0.7484,0.1768,0.1424,0.1669,0.1838,0.1937,0.2015,0.1363,0.2035,6.366e-08,5.581e-08,5.632e-08,6.27e-08,7.004e-08,7.285e-08,5.568e-08,7.355e-08,26.03,18.92,19.48,24.73,31.28,34.96,18.77,35.89,0.009854,0.005032,0.006799,0.01028,0.01333,0.01408,0.004591,0.01427,0.01655,0.008015,0.01098,0.01708,0.02265,0.02435,0.007274,0.02477,0.5941,0.3084,0.4311,0.6229,0.7858,0.8393,0.2777,0.8527,3.598,2.029,2.948,3.691,4.34,5.036,1.8,5.21
30,1,53.71,52.6,53.04,53.22,53.89,55.52,52.5,55.92,32.47,30.42,31.22,32.18,33.44,34.91,30.22,35.28,0.8851,0.8384,0.8664,0.8924,0.9112,0.9216,0.8315,0.9242,7.164,6.03,6.474,7.237,7.927,8.196,5.919,8.263,1.67e+05,9.668e+04,1.23e+05,1.776e+05,2.215e+05,2.224e+05,90086,222600,0.4961,0.2536,0.3482,0.5136,0.6615,0.7143,0.23,0.7275,0.1581,0.1528,0.1566,0.1584,0.1599,0.1631,0.1518,0.1639,5.721e-08,5.305e-08,5.598e-08,5.725e-08,5.848e-08,6.13e-08,5.232e-08,6.2e-08,27.85,19.62,20.83,26.05,33.07,38.61,19.32,40,0.009318,0.004588,0.006491,0.00965,0.01248,0.01358,0.004113,0.01386,0.01567,0.007312,0.01049,0.01604,0.02122,0.0235,0.006519,0.02407,0.5622,0.2815,0.4118,0.5857,0.736,0.81,0.2489,0.8285,3.407,2.008,2.851,3.494,4.05,4.685,1.797,4.844
30,2,53.33,52.12,52.34,52.46,53.44,55.75,52.07,56.33,32.28,30.09,30.84,31.97,33.41,34.92,29.91,35.3,0.8862,0.8387,0.8674,0.894,0.9128,0.9228,0.8315,0.9253,6.383,5.425,5.686,6.384,7.081,7.34,5.36,7.405,1.428e+05,7.981e+04,1.07e+05,1.522e+05,1.88e+05,1.928e+05,73000,193960,0.4243,0.2098,0.3034,0.4517,0.5726,0.6007,0.1864,0.6077,0.2001,0.1853,0.1854,0.2001,0.2148,0.2151,0.1852,0.2151,7.225e-08,6.72e-08,6.814e-08,7.214e-08,7.625e-08,7.746e-08,6.696e-08,7.776e-08,32.91,23.3,24.02,29.57,38.46,47.18,23.12,49.36,0.008041,0.003799,0.005759,0.008632,0.01091,0.01146,0.003309,0.01159,0.01351,0.006055,0.009152,0.01423,0.01859,0.01997,0.00528,0.02032,0.4804,0.233,0.3592,0.5146,0.6358,0.68,0.2014,0.6911,2.574,1.531,2.135,2.697,3.135,3.444,1.38,3.521
30,3,50.87,48.72,49.35,50.14,51.66,54.07,48.56,54.67,32.56,30.29,31.26,32.33,33.63,35.16,30.05,35.55,0.8904,0.8456,0.8682,0.896,0.9183,0.9274,0.84,0.9297,6.804,5.777,6.12,6.571,7.255,8.155,5.691,8.381,1.299e+05,7.276e+04,9.585e+04,1.386e+05,1.727e+05,1.749e+05,66986,175396,0.3862,0.1911,0.2715,0.4061,0.5208,0.5533,0.171,0.5614,0.3749,0.3556,0.3583,0.3754,0.392,0.3934,0.3549,0.3937,1.359e-07,1.187e-07,1.348e-07,1.419e-07,1.43e-07,1.446e-07,1.147e-07,1.45e-07,36.2,25.31,26.43,32.99,42.76,51.59,25.03,53.8,0.007685,0.003601,0.005493,0.008148,0.01034,0.01112,0.003128,0.01132,0.01219,0.005476,0.008137,0.01263,0.01668,0.01828,0.004811,0.01868,0.4354,0.2108,0.3183,0.4589,0.5759,0.627,0.184,0.6397,2.484,1.533,1.932,2.493,3.044,3.422,1.433,3.516
30,4,50.96,48.82,49.36,50.22,51.81,54.13,48.68,54.7,32.57,30.29,31.28,32.34,33.63,35.17,30.05,35.55,0.8907,0.8459,0.8683,0.8964,0.9188,0.9276,0.8403,0.9298,7.071,5.36,5.929,6.757,7.899,9.22,5.218,9.55,1.302e+05,7.289e+04,9.613e+04,1.389e+05,1.729e+05,1.753e+05,67084,175850,0.3869,0.1915,0.2723,0.4073,0.5219,0.5538,0.1713,0.5618,0.3758,0.3536,0.3549,0.3723,0.3933,0.4029,0.3533,0.4053,1.369e-07,1.151e-07,1.246e-07,1.346e-07,1.469e-07,1.618e-07,1.127e-07,1.656e-07,36.13,25.28,26.37,32.89,42.65,51.5,25.01,53.72,0.007687,0.003604,0.005497,0.008144,0.01033,0.01113,0.003131,0.01133,0.01221,0.005486,0.00816,0.01266,0.01671,0.0183,0.004817,0.0187,0.4361,0.2112,0.3192,0.4599,0.5768,0.6275,0.1842,0.6402,2.5,1.728,2.095,2.451,2.856,3.342,1.636,3.464
30,5,51.55,49.45,50.08,50.91,52.38,54.54,49.29,55.08,32.5,30.19,31.2,32.3,33.59,35.08,29.93,35.46,0.8892,0.8438,0.866,0.8949,0.918,0.9266,0.8383,0.9287,6.579,5.2,5.633,6.627,7.574,7.893,5.092,7.972,1.297e+05,7.341e+04,9.684e+04,1.374e+05,1.703e+05,1.753e+05,67552,176540,0.3852,0.1928,0.2743,0.4094,0.5203,0.5437,0.1725,0.5496,0.412,0.3806,0.3814,0.3867,0.4173,0.4788,0.3804,0.4941,1.493e-07,1.269e-07,1.344e-07,1.467e-07,1.616e-07,1.752e-07,1.25e-07,1.786e-07,36.08,25.74,26.43,32.7,42.34,51.14,25.57,53.34,0.007555,0.0036,0.005473,0.008086,0.01017,0.01077,0.003131,0.01092,0.01218,0.005537,0.008228,0.01275,0.0167,0.01803,0.004864,0.01836,0.4349,0.213,0.3222,0.463,0.5757,0.6175,0.1857,0.6279,2.366,1.513,2.064,2.447,2.748,3.106,1.375,3.195
30,6,51.28,48.77,49.1,50.79,52.97,54.48,48.69,54.86,32.43,30.1,31.01,32.18,33.61,35.12,29.87,35.5,0.888,0.8448,0.8645,0.8914,0.915,0.9264,0.8399,0.9292,6.837,5.471,6.12,6.77,7.487,8.296,5.308,8.499,1.246e+05,7.174e+04,9.454e+04,1.326e+05,1.627e+05,1.664e+05,66038,167272,0.37,0.1884,0.2678,0.3923,0.4945,0.5204,0.1686,0.5269,0.6214,0.508,0.5626,0.6358,0.6946,0.7145,0.4944,0.7195,2.275e-07,1.659e-07,1.982e-07,2.359e-07,2.652e-07,2.773e-07,1.578e-07,2.803e-07,37.26,26.9,27.82,33.91,43.36,52.33,26.67,54.57,0.007313,0.003529,0.005352,0.007677,0.009638,0.01059,0.003073,0.01082,0.01173,0.005405,0.00803,0.01227,0.01597,0.01731,0.004749,0.01764,0.4187,0.208,0.3141,0.4449,0.5496,0.593,0.1814,0.6038,2.38,1.541,1.972,2.36,2.768,3.247,1.433,3.367
40,0,59.09,58.29,58.29,58.49,59.29,60.74,58.28,61.1,33.22,31.24,32.01,32.86,34.07,35.69,31.05,36.1,0.897,0.8518,0.8808,0.9069,0.9232,0.9284,0.8446,0.9298,5.872,5.024,5.807,6.177,6.242,6.293,4.828,6.306,2.059e+05,1.229e+05,1.515e+05,2.15e+05,2.695e+05,2.762e+05,115718,277874,0.6107,0.322,0.4282,0.6381,0.8206,0.8612,0.2954,0.8714,0.1434,0.1408,0.1414,0.1425,0.1445,0.1472,0.1406,0.1479,5.197e-08,4.65e-08,4.956e-08,5.215e-08,5.457e-08,5.719e-08,4.573e-08,5.785e-08,22.37,16.25,16.76,21.1,26.71,30.25,16.12,31.14,0.0104,0.005326,0.007288,0.0109,0.01401,0.01476,0.004835,0.01495,0.01881,0.009079,0.01266,0.0195,0.02566,0.02758,0.008184,0.02806,0.6814,0.354,0.499,0.716,0.8984,0.9605,0.3178,0.976,3.523,1.987,2.688,3.43,4.265,5.19,1.812,5.421
40,1,59.13,58.2,58.3,58.55,59.38,60.86,58.17,61.23,33.23,31.24,32.01,32.86,34.08,35.72,31.05,36.13,0.8973,0.8518,0.8809,0.9071,0.9235,0.9289,0.8445,0.9303,6.165,4.829,5.835,6.456,6.785,7.095,4.577,7.172,1.951e+05,1.13e+05,1.454e+05,2.078e+05,2.574e+05,2.595e+05,104854,260006,0.5798,0.2965,0.4117,0.6009,0.7689,0.8335,0.2677,0.8497,0.1633,0.1544,0.1589,0.1647,0.1691,0.1702,0.1533,0.1705,5.913e-08,5.407e-08,5.501e-08,5.852e-08,6.263e-08,6.505e-08,5.383e-08,6.565e-08,23.81,16.81,17.92,22.16,28.04,33.1,16.54,34.37,0.009872,0.004898,0.007003,0.01025,0.01312,0.01431,0.004372,0.01461,0.01787,0.008363,0.01218,0.01836,0.02405,0.0267,0.00741,0.02736,0.6473,0.3263,0.4802,0.6749,0.842,0.9295,0.2878,0.9514,3.423,2.091,2.775,3.228,3.876,5.027,1.92,5.315
40,2,58.85,57.74,57.87,58.3,59.28,60.72,57.71,61.08,33.06,30.96,31.69,32.7,34.07,35.68,30.77,36.08,0.8988,0.8541,0.8836,0.9092,0.9244,0.9292,0.8467,0.9303,5.899,4.886,5.677,6.082,6.304,6.658,4.688,6.746,1.683e+05,9.206e+04,1.26e+05,1.812e+05,2.235e+05,2.267e+05,83570,227436,0.5007,0.2422,0.3574,0.5316,0.6749,0.7159,0.2134,0.7262,0.2036,0.195,0.202,0.205,0.2065,0.2102,0.1932,0.2111,7.383e-08,6.607e-08,6.874e-08,7.309e-08,7.817e-08,8.262e-08,6.54e-08,8.373e-08,28.16,19.56,20.39,25.08,32.84,41.06,19.35,43.12,0.008571,0.004019,0.006122,0.009104,0.01155,0.01238,0.003493,0.01258,0.01555,0.006848,0.01058,0.01635,0.02132,0.02314,0.005914,0.0236,0.5579,0.2668,0.4164,0.5959,0.7374,0.7959,0.2293,0.8106,2.893,1.5,2.372,2.909,3.43,4.263,1.282,4.471
